exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
25,28,Beginner,Beginner,r3,r3,c1,c1,0.9867388770983821,0.8897557704235185,0.9867566565249734,0.9396005935917647,0.7066666666666667
25,29,Beginner,Beginner,r3,r3,c1,c1,0.9857234582272723,0.9290619302695658,0.9824210731635514,0.9524720561519406,0.6890898812888638
25,41,Beginner,Beginner,r3,r3,c1,c1,0.9884135082820888,0.917119040595152,0.9848715133781987,0.9301653763960175,0.7504045307443366
25,46,Beginner,Beginner,r3,r3,c1,c1,0.9872976555001641,0.940029162590317,0.9852188587518916,0.8986692604501483,0.6679653245809636
25,48,Beginner,Beginner,r3,r3,c1,c1,0.990968470025649,0.9425314620093402,0.9878168607622959,0.9547740583937682,0.7357142857142855
25,52,Beginner,Beginner,r3,r3,c1,c1,0.9868963703663378,0.9415356046027183,0.9827169160660485,0.8966716983240809,0.6458333333333334
26,28,Beginner,Beginner,r3,r3,c1,c1,0.9868654655238194,0.8906378766789359,0.986072968956832,0.9332975572612181,0.7615440165539461
26,29,Beginner,Beginner,r3,r3,c1,c1,0.9888005016920516,0.9074362649415991,0.9866793103593878,0.9449934923164649,0.7090069284064665
26,41,Beginner,Beginner,r3,r3,c1,c1,0.9900499909485982,0.9125400099366997,0.9905101166983863,0.9215273492203488,0.7198405029538755
26,46,Beginner,Beginner,r3,r3,c1,c1,0.9868319214499193,0.841898351913053,0.9871234406998244,0.9295592648530012,0.6978260869565217
26,48,Beginner,Beginner,r3,r3,c1,c1,0.9921828037418448,0.9455874428920875,0.9904234195345974,0.9635098489049053,0.7463737649779273
26,52,Beginner,Beginner,r3,r3,c1,c1,0.9874292540350842,0.9410375650068639,0.9849343786511906,0.9080879071615672,0.6880733944954128
27,30,Beginner,Beginner,r3,r3,c2,c2,0.9883985379000702,0.8992295485777054,0.9891401747504333,0.9431271031251649,0.7096774193548387
27,33,Beginner,Beginner,r3,r3,c2,c2,0.9897976066758599,0.878506605928788,0.989372466900743,0.9640770850015714,0.6962025316455697
27,39,Beginner,Beginner,r3,r3,c2,c2,0.9881327756555226,0.9023010462668195,0.9854860916887895,0.9345870204976897,0.6961325966850829
27,40,Beginner,Beginner,r3,r3,c2,c2,0.9878699266668682,0.9028327456847025,0.9864026639221553,0.9401796123094275,0.7033492822966507
27,9,Beginner,Beginner,r3,r3,c2,c2,0.9887503924923178,0.8881088922120682,0.9868833239753154,0.9711032153253364,0.6848484848484848
28,29,Beginner,Beginner,r3,r3,c1,c1,0.9861205386450576,0.873772727279894,0.9848606414273618,0.9441404610041217,0.6952714000244689
28,41,Beginner,Beginner,r3,r3,c1,c1,0.9870481512553144,0.875407660367907,0.9832917000284501,0.9407982004680117,0.7
28,46,Beginner,Beginner,r3,r3,c1,c1,0.9850738978822388,0.877078287442229,0.9863174344538679,0.917182982079689,0.751004016064257
28,48,Beginner,Beginner,r3,r3,c1,c1,0.9863798699204033,0.8555288846698531,0.9870117263516478,0.9572722242866017,0.757201646090535
28,52,Beginner,Beginner,r3,r3,c1,c1,0.9854573707176381,0.8777062115691954,0.9868091021280322,0.9507960700717902,0.6630639097744361
29,41,Beginner,Beginner,r3,r3,c1,c1,0.9857796317959854,0.9097780995052042,0.981288118672126,0.9052045759514347,0.6482213438735178
29,46,Beginner,Beginner,r3,r3,c1,c1,0.9835706046294745,0.8865872560956964,0.9830800318559993,0.943574722739207,0.6407077942777407
29,48,Beginner,Beginner,r3,r3,c1,c1,0.9880246835142266,0.9411141949895576,0.9862516869416617,0.9388948092204579,0.6727272727272727
29,52,Beginner,Beginner,r3,r3,c1,c1,0.9858512629670237,0.9385162003421763,0.9791370629011851,0.9059936976443685,0.7090163934426229
30,33,Beginner,Beginner,r3,r3,c2,c2,0.9928584929926411,0.9158026209054101,0.9905119933549104,0.9581052640064411,0.6739130434782608
30,39,Beginner,Beginner,r3,r3,c2,c2,0.9902270651298994,0.881848853609281,0.9886975416234581,0.9453449540460523,0.6538829151732377
30,40,Beginner,Beginner,r3,r3,c2,c2,0.9880242578404514,0.8948846074339445,0.9850826274345158,0.9113542619595745,0.7176040221289172
30,9,Beginner,Beginner,r3,r3,c2,c2,0.9885347736865533,0.804959994618417,0.9907772058740714,0.9587821309967505,0.702112541117108
33,39,Beginner,Beginner,r3,r3,c2,c2,0.991664889644906,0.9343425450374359,0.9905991192891219,0.9347066251777174,0.710344827586207
33,40,Beginner,Beginner,r3,r3,c2,c2,0.9912498476929582,0.9089182668186903,0.9905096783823236,0.9594219954884176,0.6389421991420186
33,9,Beginner,Beginner,r3,r3,c2,c2,0.9908972333093331,0.8781788395105603,0.9902621937494248,0.9684124857056114,0.6877637130801688
36,37,Beginner,Beginner,r3,r3,c3,c3,0.9870606430598851,0.8175754085411355,0.9861299436343814,0.9322557466487194,0.661904761904762
36,38,Beginner,Beginner,r3,r3,c3,c3,0.984631023179698,0.7782274929728501,0.9796991263854589,0.9252708136213833,0.735511101652834
36,43,Beginner,Beginner,r3,r3,c3,c3,0.9874729789470398,0.8438889369575298,0.9831415005429752,0.9181494909588442,0.6786979745094929
36,47,Beginner,Beginner,r3,r3,c3,c3,0.9849955198455924,0.7731860135268008,0.9815927107881874,0.8670223689598298,0.6153599777189807
36,50,Beginner,Beginner,r3,r3,c3,c3,0.9868309881595894,0.7926629122110336,0.9841542496373147,0.9052648841388813,0.685430463576159
37,38,Beginner,Beginner,r3,r3,c3,c3,0.9893297630895478,0.8544971276264778,0.9862636419380554,0.9017575803853561,0.7017543859649122
37,43,Beginner,Beginner,r3,r3,c3,c3,0.9870805742202152,0.88367845679607,0.9824745619543163,0.9364493909131301,0.7028753993610224
37,47,Beginner,Beginner,r3,r3,c3,c3,0.9850476811158746,0.845660232464345,0.982904466768741,0.8558790551957722,0.6467065868263473
37,50,Beginner,Beginner,r3,r3,c3,c3,0.9891920731751709,0.8682759953625363,0.9865174647553706,0.9228862907182811,0.6730769230769231
38,43,Beginner,Beginner,r3,r3,c3,c3,0.985865490014695,0.8852654598659668,0.9867272310852406,0.9519388481309734,0.7009345794392523
38,47,Beginner,Beginner,r3,r3,c3,c3,0.9840441624020356,0.8544208229266289,0.9841491698930809,0.9117855092712499,0.6398514015535292
38,50,Beginner,Beginner,r3,r3,c3,c3,0.9859658580147209,0.8534489611184066,0.9812667648337023,0.9187346939029113,0.7544910179640718
39,40,Beginner,Beginner,r3,r3,c2,c2,0.9910269419742442,0.939775678140979,0.9905179991457101,0.9353031267147203,0.7336956521739131
39,9,Beginner,Beginner,r3,r3,c2,c2,0.9894962237246634,0.8702738595694186,0.988169736116371,0.9550681840582684,0.7329365079365079
40,9,Beginner,Beginner,r3,r3,c2,c2,0.9881820664434178,0.8898632884788705,0.988722257196886,0.9168056856818204,0.7172774869109948
41,46,Beginner,Beginner,r3,r3,c1,c1,0.9856716405987902,0.8712947150580322,0.9828822015616919,0.9495795675566364,0.716011354079058
41,48,Beginner,Beginner,r3,r3,c1,c1,0.9902907558688894,0.9385942718270038,0.9872631573442661,0.9053814797481375,0.732337237247034
41,52,Beginner,Beginner,r3,r3,c1,c1,0.9881916318842876,0.9265842345176638,0.9852118228003318,0.9273302222937274,0.7111330698287219
43,47,Beginner,Beginner,r3,r3,c3,c3,0.9844283149768108,0.8661694136606638,0.9847419425887842,0.8774689598599613,0.7244732576985413
43,50,Beginner,Beginner,r3,r3,c3,c3,0.9892293765228279,0.9002033774646621,0.9889327442672249,0.9410036641387243,0.6969540625238859
46,48,Beginner,Beginner,r3,r3,c1,c1,0.9875132954429157,0.9050049637957172,0.9851190009147325,0.9028444573957598,0.6782990974167444
46,52,Beginner,Beginner,r3,r3,c1,c1,0.9842180970785297,0.8855044852822445,0.9802769437524206,0.9116066052034757,0.6579634464751958
47,50,Beginner,Beginner,r3,r3,c3,c3,0.9867970358709646,0.8668838637642209,0.9840113914996106,0.886013587729598,0.6709401709401709
48,52,Beginner,Beginner,r3,r3,c1,c1,0.9895240446037138,0.9659470339014035,0.9836423213975765,0.918327152089017,0.7288691983122363
