exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration,source_file
7,8,Beginner,Beginner,r3,r3,0.9907450214315224,0.9263121452871024,0.988961282541268,0.8968508906335129,0.7199512285324643,Beginner_r3_result.csv
7,9,Beginner,Beginner,r3,r3,0.9894671594841712,0.8981804021686164,0.9881061246435746,0.9214437157585076,0.719642857142857,Beginner_r3_result.csv
8,9,Beginner,Beginner,r3,r3,0.9908980341499268,0.8774931339700461,0.9898949770228226,0.900740646863487,0.6496187363834423,Beginner_r3_result.csv
10,11,Intermediate,Intermediate,r1,r1,0.9855814637435544,0.8569081858230214,0.9829715055729066,0.889746994119125,0.7526067122841317,Intermediate_r1_result.csv
10,12,Intermediate,Intermediate,r1,r1,0.988504372336778,0.919223384090312,0.9847038621343768,0.919167330948119,0.747778133385854,Intermediate_r1_result.csv
10,6,Intermediate,Intermediate,r1,r1,0.9847265568413994,0.8602159405907333,0.9846385436356376,0.8728984940335572,0.686242329099472,Intermediate_r1_result.csv
11,12,Intermediate,Intermediate,r1,r1,0.9858465153005922,0.8571190131003046,0.9838822765103228,0.9162159253819454,0.7434397315667212,Intermediate_r1_result.csv
11,6,Intermediate,Intermediate,r1,r1,0.9821934276196016,0.8331545342020853,0.9786027240586476,0.8879199536713989,0.684331797235023,Intermediate_r1_result.csv
12,6,Intermediate,Intermediate,r1,r1,0.9867815441328686,0.8810346433946438,0.984064142654958,0.8855872153904633,0.7257142857142858,Intermediate_r1_result.csv
10,11,Intermediate,Intermediate,r2,r2,0.9919064836204708,0.9157428510938844,0.9902213087192449,0.929875195644244,0.778652668416448,Intermediate_r2_result.csv
10,12,Intermediate,Intermediate,r2,r2,0.9901751240072784,0.9349107957157736,0.9878434836566936,0.9461767974415058,0.7523482245131731,Intermediate_r2_result.csv
10,6,Intermediate,Intermediate,r2,r2,0.9869488083283908,0.8861532320165215,0.9840475953804236,0.8619892906370693,0.7053221288515407,Intermediate_r2_result.csv
11,12,Intermediate,Intermediate,r2,r2,0.9891190388519716,0.9117518854729156,0.9891824367139428,0.9552735793903367,0.752851711026616,Intermediate_r2_result.csv
11,6,Intermediate,Intermediate,r2,r2,0.9877453366525512,0.9066036294266,0.9839905931560676,0.9081598311919028,0.6750788643533123,Intermediate_r2_result.csv
12,6,Intermediate,Intermediate,r2,r2,0.9873576354121798,0.911946224624044,0.9854098657053616,0.9012316790539374,0.6690841566813819,Intermediate_r2_result.csv
10,11,Intermediate,Intermediate,r3,r3,0.9881016528100888,0.8899089130330653,0.9861820312991786,0.8930693717936811,0.71,Intermediate_r3_result.csv
10,12,Intermediate,Intermediate,r3,r3,0.9888702423594132,0.9028618304935568,0.9863384036373124,0.964336664168884,0.7642857142857143,Intermediate_r3_result.csv
10,6,Intermediate,Intermediate,r3,r3,0.9854100774195071,0.8785772854700151,0.9845945668654552,0.865056312006016,0.6803776683087028,Intermediate_r3_result.csv
11,12,Intermediate,Intermediate,r3,r3,0.992812823879173,0.8743160183396119,0.9907272018356482,0.8108685877654953,0.7250131279537896,Intermediate_r3_result.csv
11,6,Intermediate,Intermediate,r3,r3,0.9891686210532412,0.9113106173391468,0.9879067120878292,0.9356071275995976,0.6360153256704981,Intermediate_r3_result.csv
12,6,Intermediate,Intermediate,r3,r3,0.9876197088354204,0.9001189817117878,0.9847216006026592,0.8522936915722057,0.6606709484470374,Intermediate_r3_result.csv
