exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
16,196,5,0.990439483297899,0.7406419818329595,0.9870923773802429,0.8846726125421343,0.6799999999999999
16,201,5,0.9940635972973866,0.6382061111861406,0.9905710847492999,0.9344806163957297,0.6341463414634145
16,204,5,0.9932221642823488,0.5500141881636214,0.9902322463805432,0.8887079548386231,0.657142857142857
16,211,5,0.9944373528800864,0.6828958713994577,0.9921737170829584,0.9153296411763845,0.631578947368421
17,3,5,0.9921389701974043,0.7469387127159484,0.9888948678254736,0.9255791697875391,0.6666666666666666
17,5,5,0.9922606361080014,0.7524297757357313,0.9896553532612068,0.9362681201570686,0.6666666666666667
17,12,5,0.9912454323917842,0.6838454046771014,0.9884852424091892,0.9025134986570641,0.6491108071135431
17,28,5,0.9924942061469715,0.6920865449792217,0.9911134312434131,0.9239161159601,0.6666666666666667
17,30,5,0.9908453362326171,0.7082793237590206,0.9861320752064836,0.9230796597570251,0.653846153846154
17,36,5,0.9916889364144339,0.688032267842354,0.9883194784152751,0.9248417360053236,0.6666666666666666
17,93,5,0.9909629611282058,0.6506601364047075,0.9856396131116474,0.9068840379357723,0.6399999999999999
17,96,5,0.9891449517797454,0.6954106300342733,0.986723500845079,0.9253828578766153,0.6285714285714284
17,110,5,0.9928020674330612,0.738142802979364,0.9890984653235376,0.9468692087579069,0.683130081300813
17,154,5,0.9937448022770139,0.6977548103071682,0.991762019648965,0.9300223259797014,0.6666666666666665
17,163,5,0.9892972978824657,0.6922386906246564,0.9832882601811829,0.9239946325075893,0.6605084745762712
17,181,5,0.9917184117166706,0.6979294037339766,0.9875785056517842,0.9221960899240055,0.5925925925925926
17,189,5,0.9924408365423317,0.7296192074712091,0.9894661274061339,0.9232251822823127,0.6595744680851063
17,196,5,0.9888803727354868,0.738551083839726,0.9841135956986894,0.8920670574422975,0.6774193548387097
17,201,5,0.9912210255117184,0.6641686803132505,0.987713330600472,0.9199490682133684,0.6802777777777778
17,204,5,0.9891190160368452,0.4688997928854267,0.9816514713699794,0.8832830939657984,0.606060606060606
17,211,5,0.9931080411281737,0.7470891045482776,0.9898505092791299,0.9388152843740178,0.6595744680851063
19,3,5,0.9903429662249496,0.731583484619183,0.9879135463265853,0.9157769853039981,0.7
19,5,5,0.9919144540415257,0.7000876359749402,0.9895284091426844,0.9462798728565355,0.75
19,12,5,0.9911235548309298,0.7403053060599853,0.9889140576978681,0.902133396010162,0.653846153846154
19,28,5,0.9909374659951672,0.7678938462629282,0.9865392606745792,0.9444335340230287,0.6206896551724137
19,30,5,0.9903266896324645,0.7474098386587659,0.9859836746031617,0.8899360083285623,0.6923076923076923
19,36,5,0.9904531269644586,0.754584305319024,0.9878335472079407,0.9151544041229848,0.6363636363636365
