exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
104,68,5,low,high,206.0,0.8917748917748918
101,82,5,low,high,834.0,0.9608294930875576
104,82,5,low,high,218.0,0.9437229437229437
104,69,5,low,high,282.0,0.8924050632911392
101,178,5,low,high,803.0,0.9251152073732719
104,86,5,low,high,261.0,0.9
104,118,5,low,high,197.0,0.8528138528138528
114,48,5,low,high,118.0,0.9147286821705426
114,68,5,low,high,130.0,0.8227848101265823
101,87,5,low,high,757.0,0.8721198156682027
104,178,5,low,high,215.0,0.9307359307359307
114,80,5,low,high,91.0,0.978494623655914
104,87,5,low,high,234.0,0.9285714285714286
114,69,5,low,high,283.0,0.8955696202531646
101,69,5,low,high,729.0,0.8398617511520737
114,118,5,low,high,96.0,0.8421052631578947
114,82,5,low,high,168.0,0.8983957219251337
114,178,5,low,high,136.0,0.85
114,87,5,low,high,213.0,0.8452380952380952
114,86,5,low,high,252.0,0.8689655172413793
101,86,5,low,high,750.0,0.8640552995391705
124,80,5,low,high,197.0,0.9036697247706422
124,48,5,low,high,194.0,0.8899082568807339
124,68,5,low,high,202.0,0.926605504587156
124,118,5,low,high,197.0,0.9036697247706422
124,82,5,low,high,202.0,0.926605504587156
124,178,5,low,high,195.0,0.8944954128440367
124,69,5,low,high,298.0,0.9430379746835443
124,87,5,low,high,243.0,0.9642857142857143
126,48,5,low,high,276.0,0.9261744966442953
124,86,5,low,high,278.0,0.9586206896551724
126,80,5,low,high,266.0,0.8926174496644296
126,68,5,low,high,292.0,0.9798657718120806
126,118,5,low,high,283.0,0.9496644295302014
126,82,5,low,high,269.0,0.9026845637583892
126,178,5,low,high,279.0,0.9362416107382551
126,87,5,low,high,293.0,0.9832214765100671
126,69,5,low,high,303.0,0.9588607594936709
128,48,5,low,high,473.0,0.9594320486815415
126,86,5,low,high,290.0,0.9731543624161074
128,80,5,low,high,471.0,0.9553752535496958
128,68,5,low,high,444.0,0.9006085192697769
128,118,5,low,high,433.0,0.8782961460446247
132,48,5,low,high,274.0,0.9256756756756757
128,82,5,low,high,465.0,0.9432048681541582
132,68,5,low,high,266.0,0.8986486486486487
128,178,5,low,high,458.0,0.9290060851926978
132,80,5,low,high,283.0,0.956081081081081
128,69,5,low,high,418.0,0.847870182555781
132,118,5,low,high,252.0,0.8513513513513513
128,87,5,low,high,454.0,0.920892494929006
132,82,5,low,high,281.0,0.9493243243243243
128,86,5,low,high,398.0,0.8073022312373225
139,48,5,low,high,124.0,0.9612403100775194
132,69,5,low,high,275.0,0.870253164556962
139,68,5,low,high,125.0,0.7911392405063291
139,80,5,low,high,106.0,0.9464285714285714
132,86,5,low,high,281.0,0.9493243243243243
132,178,5,low,high,258.0,0.8716216216216216
132,87,5,low,high,262.0,0.8851351351351351
139,118,5,low,high,96.0,0.8421052631578947
139,69,5,low,high,264.0,0.8354430379746836
139,82,5,low,high,176.0,0.9411764705882353
140,48,5,low,high,125.0,0.9689922480620154
139,178,5,low,high,132.0,0.825
