exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
27,43,Beginner,Beginner,r1,r2,c1,c1,0.985637835316897,0.9212318455885451,0.9841598128768968,0.9264496127678532,0.6357142857142857
27,47,Beginner,Beginner,r1,r2,c1,c1,0.9852097909622195,0.8950021917704764,0.9837171976044395,0.9372304061821257,0.7258954008954009
27,50,Beginner,Beginner,r1,r2,c1,c1,0.9864783098863849,0.9359571128470932,0.9866846119217016,0.9377888829263797,0.7415494096716805
27,9,Beginner,Beginner,r1,r2,c1,c1,0.9872793582311087,0.9037508479400632,0.9833173122986695,0.9193970548338971,0.7691756722794671
28,16,Beginner,Beginner,r1,r2,c2,c2,0.985581843267971,0.8830402417912299,0.981594862817973,0.9364759500413119,0.6431095406360424
28,26,Beginner,Beginner,r1,r2,c2,c2,0.9887334024058799,0.9263141113184381,0.9850685754261952,0.9539581273806722,0.7508532423208192
28,29,Beginner,Beginner,r1,r2,c2,c2,0.9878206993736629,0.9100402204782134,0.9851012108056731,0.9247601092246795,0.7201935483870968
28,36,Beginner,Beginner,r1,r2,c2,c2,0.9884057581686635,0.8725522339951118,0.9859237559864383,0.950397031178424,0.7373048741637465
28,46,Beginner,Beginner,r1,r2,c2,c2,0.9880170751946397,0.9041909467955415,0.9871812866148125,0.9477697593548057,0.7405660377358491
29,24,Beginner,Beginner,r1,r2,c3,c3,0.9846305089888564,0.8810704954488542,0.9801659513720259,0.9357616386858078,0.6776221264367817
29,25,Beginner,Beginner,r1,r2,c3,c3,0.9840582871124265,0.8400707114410413,0.9808086182520914,0.9195698016731414,0.6944444444444444
29,27,Beginner,Beginner,r1,r2,c3,c3,0.9822985051326096,0.8242027630263267,0.9791957808134355,0.933734815142504,0.7231846316425121
29,28,Beginner,Beginner,r1,r2,c3,c3,0.9834104909303275,0.8012922649031464,0.9835859527510457,0.8657234414399244,0.7420634920634921
29,33,Beginner,Beginner,r1,r2,c3,c3,0.9842355930243115,0.8674345683773153,0.9799015438486499,0.9105060744788068,0.7168715242109738
29,40,Beginner,Beginner,r1,r2,c3,c3,0.9842762915335785,0.8756450559323136,0.9805206860563038,0.9200654326162752,0.7524798210638919
29,41,Beginner,Beginner,r1,r2,c3,c3,0.9827119172470115,0.7086478796201828,0.9800743930378477,0.8982704049979675,0.709090909090909
29,48,Beginner,Beginner,r1,r2,c3,c3,0.9828224172846111,0.8643380040875257,0.9795520034051294,0.8881491877918247,0.7449664429530202
29,52,Beginner,Beginner,r1,r2,c3,c3,0.9822121532496721,0.859628503925462,0.9769846241017465,0.8880472810857508,0.7323420074349443
30,24,Beginner,Beginner,r1,r2,c3,c3,0.9864525418102488,0.8847136885781747,0.9841751378262866,0.8771371218513064,0.6420233463035019
30,25,Beginner,Beginner,r1,r2,c3,c3,0.9833597221629734,0.7485090649589041,0.9832468693056619,0.9030391973870444,0.6687898089171974
30,27,Beginner,Beginner,r1,r2,c3,c3,0.9823236435221817,0.782804523790955,0.9758898228717218,0.9259340401508334,0.650945713583886
30,28,Beginner,Beginner,r1,r2,c3,c3,0.9862768233780252,0.8965740015005438,0.9854581489792177,0.9571162299021894,0.7271408839779006
30,33,Beginner,Beginner,r1,r2,c3,c3,0.9886304666536683,0.7913542893887695,0.9852290764204117,0.9163930468809891,0.7069836293974225
30,40,Beginner,Beginner,r1,r2,c3,c3,0.9869541531835032,0.8698818826717181,0.9864649043797142,0.8945668230138949,0.7425149700598802
30,41,Beginner,Beginner,r1,r2,c3,c3,0.9870953787266503,0.7033104343432459,0.9832317831933113,0.9489922281953858,0.6742081447963801
