exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
68,179,rectangle,high,low,460.0,0.9255533199195172,Java_high_Java_low_results.csv
69,60,rectangle,high,low,239.0,0.8415492957746479,Java_high_Java_low_results.csv
69,126,rectangle,high,low,277.0,0.929530201342282,Java_high_Java_low_results.csv
69,164,rectangle,high,low,268.0,0.943661971830986,Java_high_Java_low_results.csv
69,180,rectangle,high,low,252.0,0.8873239436619719,Java_high_Java_low_results.csv
80,27,rectangle,high,low,105.0,0.963302752293578,Java_high_Java_low_results.csv
69,138,rectangle,high,low,261.0,0.9190140845070424,Java_high_Java_low_results.csv
80,21,rectangle,high,low,289.0,0.9116719242902208,Java_high_Java_low_results.csv
80,13,rectangle,high,low,234.0,0.9176470588235294,Java_high_Java_low_results.csv
80,35,rectangle,high,low,152.0,0.8888888888888888,Java_high_Java_low_results.csv
80,29,rectangle,high,low,151.0,0.893491124260355,Java_high_Java_low_results.csv
80,34,rectangle,high,low,215.0,0.8884297520661157,Java_high_Java_low_results.csv
69,77,rectangle,high,low,321.0,0.9119318181818182,Java_high_Java_low_results.csv
80,31,rectangle,high,low,256.0,0.9175627240143368,Java_high_Java_low_results.csv
80,43,rectangle,high,low,142.0,0.9161290322580644,Java_high_Java_low_results.csv
80,65,rectangle,high,low,88.0,0.946236559139785,Java_high_Java_low_results.csv
69,186,rectangle,high,low,253.0,0.8908450704225352,Java_high_Java_low_results.csv
80,44,rectangle,high,low,135.0,0.8490566037735849,Java_high_Java_low_results.csv
69,182,rectangle,high,low,265.0,0.9330985915492958,Java_high_Java_low_results.csv
69,200,rectangle,high,low,254.0,0.8943661971830986,Java_high_Java_low_results.csv
80,56,rectangle,high,low,128.0,0.9014084507042254,Java_high_Java_low_results.csv
80,71,rectangle,high,low,88.0,0.946236559139785,Java_high_Java_low_results.csv
80,37,rectangle,high,low,204.0,0.9357798165137616,Java_high_Java_low_results.csv
80,67,rectangle,high,low,139.0,0.8853503184713376,Java_high_Java_low_results.csv
80,74,rectangle,high,low,96.0,0.96,Java_high_Java_low_results.csv
69,208,rectangle,high,low,269.0,0.9471830985915493,Java_high_Java_low_results.csv
69,128,rectangle,high,low,255.0,0.897887323943662,Java_high_Java_low_results.csv
80,63,rectangle,high,low,254.0,0.9039145907473308,Java_high_Java_low_results.csv
80,41,rectangle,high,low,290.0,0.9119496855345912,Java_high_Java_low_results.csv
80,94,rectangle,high,low,123.0,0.946153846153846,Java_high_Java_low_results.csv
80,99,rectangle,high,low,149.0,0.861271676300578,Java_high_Java_low_results.csv
80,60,rectangle,high,low,229.0,0.89453125,Java_high_Java_low_results.csv
80,78,rectangle,high,low,203.0,0.871244635193133,Java_high_Java_low_results.csv
