exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
168,192,rectangle,medium,medium,0.9924564072814284,0.6726569967432499,0.9898617693347136,0.9314657886249704,0.6451612903225807,Java_medium_results.csv
169,202,rectangle,medium,medium,0.9893808955293392,0.6861946241912618,0.9868769087232772,0.9056895321613244,0.6,Java_medium_results.csv
168,207,rectangle,medium,medium,0.9921644081153984,0.662695645214816,0.9891362443428412,0.9174904344496472,0.5999999999999999,Java_medium_results.csv
168,203,rectangle,medium,medium,0.9915519959638563,0.5706158577012547,0.9878589403585047,0.8589619220568862,0.75,Java_medium_results.csv
169,192,rectangle,medium,medium,0.991500305150768,0.7026768247424535,0.9901156499592344,0.924088035299206,0.5882352941176471,Java_medium_results.csv
169,185,rectangle,medium,medium,0.9885624455990228,0.6654015026657956,0.9836192847410083,0.9120111542803856,0.638888888888889,Java_medium_results.csv
169,210,rectangle,medium,medium,0.988248685542776,0.7067131521847103,0.9827706353932482,0.9117089361031744,0.6226415094339623,Java_medium_results.csv
169,212,rectangle,medium,medium,0.9889693471295908,0.703491607262785,0.9856548080588784,0.9431301696663164,0.6153846153846154,Java_medium_results.csv
169,215,rectangle,medium,medium,0.989048472112571,0.7312379160979903,0.9848708635936524,0.9247403413775024,0.625,Java_medium_results.csv
171,203,rectangle,medium,medium,0.9917539866954852,0.6916233019517473,0.988916187728359,0.9222118217999918,0.5499006951340616,Java_medium_results.csv
171,185,rectangle,medium,medium,0.9932937734438017,0.6808154144128604,0.9919402764400976,0.9643732146349226,0.6708333333333334,Java_medium_results.csv
171,192,rectangle,medium,medium,0.9934746392912122,0.6603268985569011,0.9896161841708588,0.8933148337540036,0.6052631578947368,Java_medium_results.csv
169,207,rectangle,medium,medium,0.989933827332222,0.742008751069806,0.9861084360708297,0.9090631468648256,0.625,Java_medium_results.csv
158,168,rectangle,medium,medium,0.9921275225140008,0.6722977243035884,0.9881224903182791,0.8987202283625116,0.6273148148148149,Java_medium_results.csv
168,171,rectangle,medium,medium,0.9922353683168004,0.6777511969125002,0.9877528235883564,0.8951010963140906,0.5263157894736842,Java_medium_results.csv
171,202,rectangle,medium,medium,0.9910055614512912,0.6472621638742172,0.985992555858256,0.933554572447926,0.6504524886877828,Java_medium_results.csv
171,212,rectangle,medium,medium,0.9913506897809216,0.7114830639435357,0.9878798463416532,0.9319963689163818,0.558139534883721,Java_medium_results.csv
171,207,rectangle,medium,medium,0.9921730551225616,0.7216123250338042,0.9893934498537568,0.932915712541116,0.6140350877192983,Java_medium_results.csv
169,214,rectangle,medium,medium,0.9893498725460717,0.7096780086665158,0.9856540072917284,0.9209105451988234,0.6666666666666666,Java_medium_results.csv
185,203,rectangle,medium,medium,0.9917266521524324,0.7383442321885587,0.9902928939308512,0.913162008291454,0.7,Java_medium_results.csv
171,214,rectangle,medium,medium,0.9922034546800528,0.6936558922451332,0.98839136665939,0.9067127461754088,0.6082693947144076,Java_medium_results.csv
171,210,rectangle,medium,medium,0.9929901851190284,0.6766555077636334,0.9895432990152476,0.9605283927999084,0.5773195876288659,Java_medium_results.csv
185,202,rectangle,medium,medium,0.992797962535207,0.7243647319911094,0.9893693361828596,0.9025892005554892,0.676470588235294,Java_medium_results.csv
185,207,rectangle,medium,medium,0.9920660484883864,0.6736088249426626,0.9881306940725404,0.9459944612385732,0.6155281821575215,Java_medium_results.csv
171,206,rectangle,medium,medium,0.9938636847030315,0.6708235231229098,0.9916509806883652,0.930726321325798,0.6037735849056605,Java_medium_results.csv
185,210,rectangle,medium,medium,0.9941253861559726,0.7149039343856546,0.9930749231295348,0.9448663241241384,0.6666666666666666,Java_medium_results.csv
