"random_effect","experiment","dimension","AIC","BIC"
"exp_b","within_trial_between_2","Direction",12441.9935272135,12479.580446203
"exp_b","within_trial_between_2","Position",12424.4686296111,12462.0555486006
"exp_b","within_trial_between_2","Duration",15071.9007772323,15109.4876962219
"exp_b","within_trial_between_5","Shape",11615.3516940657,11651.2911452814
"exp_b","within_trial_between_5","Length",11436.9377269907,11472.8771782063
"exp_b","within_trial_between_5","Direction",8920.94907466511,8956.8885258808
"exp_b","within_trial_between_5","Position",8928.56950221551,8964.5089534312
"exp_b","within_trial_between_5","Duration",10859.335883436,10895.2753346517
"exp_b","within_group","Shape",13937.872527146,14011.5425489659
"exp_b","within_group","Length",13738.8131128703,13812.4831346902
"exp_b","within_group","Direction",10813.3912684691,10887.0612902889
"exp_b","within_group","Position",10737.918703593,10811.5887254129
"exp_b","within_group","Duration",13048.975630355,13122.6456521749
"exp_b","between_group_mean_diff","Shape",27730.2224766571,27778.5782406792
"exp_b","between_group_mean_diff","Length",27304.9281099327,27353.2838739547
"exp_b","between_group_mean_diff","Direction",21337.8723569663,21386.2281209883
"exp_b","between_group_mean_diff","Position",21329.654850527,21378.010614549
"exp_b","between_group_mean_diff","Duration",25906.4668122713,25954.8225762933
"exp_b","between_group_pairtype","Shape",27746.8324729704,27811.3068249998
"exp_b","between_group_pairtype","Length",27321.5709156256,27386.045267655
"exp_b","between_group_pairtype","Direction",21354.1006317098,21418.5749837392
"exp_b","between_group_pairtype","Position",21346.7839761128,21411.2583281422
"exp_b","between_group_pairtype","Duration",25922.9341553336,25987.408507363
"both","within_trial_within_2","Shape",7997.21566338954,8044.89722912656
"both","within_trial_within_2","Length",7882.89181868813,7930.57338442515
"both","within_trial_within_2","Direction",6197.7114033873,6245.39296912433
"both","within_trial_within_2","Position",6154.92084104281,6202.60240677984
"both","within_trial_within_2","Duration",7473.80698686322,7521.48855260025
"both","within_trial_within_5","Shape",5948.65658379467,5994.25450021794
"both","within_trial_within_5","Length",5863.92097804263,5909.5188944659
"both","within_trial_within_5","Direction",4623.66987785607,4669.26779427935
"both","within_trial_within_5","Position",4590.98921278209,4636.58712920536
"both","within_trial_within_5","Duration",5583.13187712437,5628.72979354764
"both","within_trial_between_2","Shape",16140.6972123081,16185.8015150956
"both","within_trial_between_2","Length",15893.9022357202,15939.0065385076
"both","within_trial_between_2","Direction",12443.9935272135,12489.0978300009
"both","within_trial_between_2","Position",12426.4686296111,12471.5729323985
"both","within_trial_between_2","Duration",15073.9007772323,15119.0050800198
"both","within_trial_between_5","Shape",11617.3516940657,11660.4790355245
"both","within_trial_between_5","Length",11438.9377269907,11482.0650684495
"both","within_trial_between_5","Direction",8922.94907466511,8966.07641612394
"both","within_trial_between_5","Position",8930.56950221551,8973.69684367434
"both","within_trial_between_5","Duration",10861.335883436,10904.4632248948
"both","within_group","Shape",13939.872527146,14020.9095511479
"both","within_group","Length",13740.8131128703,13821.8501368722
"both","within_group","Direction",10815.3912684691,10896.4282924709
"both","within_group","Position",10739.918703593,10820.9557275949
"both","within_group","Duration",13050.9756303549,13132.0126543568
"both","between_group_mean_diff","Shape",27732.2224766571,27788.6375346828
