exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
123,35,2,high,low,175.0,0.9562841530054644
123,34,2,high,low,197.0,0.9656862745098039
123,21,2,high,low,291.0,0.917981072555205
123,37,2,high,low,192.0,0.8807339449541285
123,31,2,high,low,250.0,0.8960573476702509
123,65,2,high,low,166.0,0.907103825136612
123,56,2,high,low,168.0,0.9180327868852459
123,43,2,high,low,270.0,0.9310344827586207
123,41,2,high,low,290.0,0.9119496855345912
123,71,2,high,low,168.0,0.9180327868852459
123,44,2,high,low,280.0,0.9556313993174061
123,67,2,high,low,176.0,0.9617486338797814
123,63,2,high,low,242.0,0.9307692307692308
123,74,2,high,low,161.0,0.8797814207650273
123,60,2,high,low,293.0,0.9575163398692811
123,78,2,high,low,168.0,0.9180327868852459
123,94,2,high,low,159.0,0.8688524590163934
123,99,2,high,low,176.0,0.9617486338797814
123,101,2,high,low,156.0,0.8524590163934426
123,64,2,high,low,558.0,0.9425675675675675
123,79,2,high,low,292.0,0.9419354838709677
123,107,2,high,low,185.0,0.8894230769230769
123,104,2,high,low,254.0,0.8943661971830986
123,77,2,high,low,358.0,0.9203084832904884
123,124,2,high,low,261.0,0.9157894736842105
123,128,2,high,low,228.0,0.9382716049382716
123,138,2,high,low,160.0,0.8743169398907104
123,126,2,high,low,296.0,0.9278996865203761
123,140,2,high,low,210.0,0.9459459459459459
123,172,2,high,low,176.0,0.9617486338797814
123,164,2,high,low,218.0,0.9276595744680851
123,162,2,high,low,241.0,0.9128787878787878
123,180,2,high,low,178.0,0.9726775956284153
123,132,2,high,low,358.0,0.8753056234718827
123,200,2,high,low,180.0,0.9836065573770492
123,179,2,high,low,356.0,0.9295039164490861
123,186,2,high,low,212.0,0.925764192139738
123,183,2,high,low,260.0,0.9285714285714286
178,27,2,high,low,209.0,0.9008620689655172
123,182,2,high,low,369.0,0.9225
178,13,2,high,low,237.0,0.9294117647058824
123,176,2,high,low,436.0,0.8650793650793651
178,29,2,high,low,219.0,0.9439655172413793
178,35,2,high,low,207.0,0.8922413793103449
178,34,2,high,low,218.0,0.9396551724137931
178,21,2,high,low,298.0,0.9400630914826499
178,37,2,high,low,211.0,0.9094827586206896
178,31,2,high,low,253.0,0.9068100358422939
178,56,2,high,low,217.0,0.9353448275862069
178,65,2,high,low,217.0,0.9353448275862069
178,43,2,high,low,268.0,0.9241379310344827
178,41,2,high,low,281.0,0.8836477987421384
178,71,2,high,low,211.0,0.9094827586206896
178,63,2,high,low,245.0,0.9423076923076923
178,74,2,high,low,202.0,0.8706896551724138
178,44,2,high,low,278.0,0.9488054607508533
178,67,2,high,low,206.0,0.8879310344827587
178,60,2,high,low,283.0,0.9248366013071896
178,78,2,high,low,206.0,0.8879310344827587
178,94,2,high,low,210.0,0.9051724137931034
178,101,2,high,low,191.0,0.8232758620689655
178,99,2,high,low,195.0,0.8405172413793104
178,107,2,high,low,216.0,0.9310344827586207
178,79,2,high,low,286.0,0.9225806451612903
178,77,2,high,low,354.0,0.910025706940874
178,104,2,high,low,250.0,0.8802816901408451
178,64,2,high,low,550.0,0.9290540540540541
178,124,2,high,low,263.0,0.9228070175438596
178,128,2,high,low,225.0,0.9259259259259259
178,138,2,high,low,199.0,0.8577586206896551
178,126,2,high,low,300.0,0.9404388714733543
178,140,2,high,low,220.0,0.9482758620689655
178,162,2,high,low,246.0,0.9318181818181818
178,164,2,high,low,227.0,0.9659574468085106
178,172,2,high,low,216.0,0.9310344827586207
178,180,2,high,low,217.0,0.9353448275862069
178,132,2,high,low,380.0,0.9290953545232273
178,200,2,high,low,220.0,0.9482758620689655
178,179,2,high,low,354.0,0.9242819843342036
178,183,2,high,low,263.0,0.9392857142857143
178,186,2,high,low,208.0,0.896551724137931
178,176,2,high,low,440.0,0.873015873015873
178,182,2,high,low,375.0,0.9375
