exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
30,40,Beginner,Beginner,r1,r2,c3,c3,0.717391304347826
30,48,Beginner,Beginner,r1,r2,c3,c3,0.738562091503268
30,52,Beginner,Beginner,r1,r2,c3,c3,0.7254901960784313
33,30,Beginner,Beginner,r1,r2,c1,c1,0.8466666666666667
33,37,Beginner,Beginner,r1,r2,c1,c1,0.74
33,38,Beginner,Beginner,r1,r2,c1,c1,0.8266666666666667
33,39,Beginner,Beginner,r1,r2,c1,c1,0.7266666666666667
33,43,Beginner,Beginner,r1,r2,c1,c1,0.68
33,50,Beginner,Beginner,r1,r2,c1,c1,0.8333333333333334
36,30,Beginner,Beginner,r1,r2,c1,c1,0.8840579710144928
36,37,Beginner,Beginner,r1,r2,c1,c1,0.8362068965517241
36,38,Beginner,Beginner,r1,r2,c1,c1,0.797752808988764
36,39,Beginner,Beginner,r1,r2,c1,c1,0.819672131147541
36,43,Beginner,Beginner,r1,r2,c1,c1,0.8264462809917356
36,47,Beginner,Beginner,r1,r2,c1,c1,0.8220338983050848
36,9,Beginner,Beginner,r1,r2,c1,c1,0.852112676056338
37,16,Beginner,Beginner,r1,r2,c2,c2,0.8181818181818182
37,26,Beginner,Beginner,r1,r2,c2,c2,0.7552447552447552
37,29,Beginner,Beginner,r1,r2,c2,c2,0.8671875
37,36,Beginner,Beginner,r1,r2,c2,c2,0.7933884297520661
37,46,Beginner,Beginner,r1,r2,c2,c2,0.753968253968254
38,16,Beginner,Beginner,r1,r2,c2,c2,0.7659574468085106
38,26,Beginner,Beginner,r1,r2,c2,c2,0.7902097902097902
38,29,Beginner,Beginner,r1,r2,c2,c2,0.7890625
38,36,Beginner,Beginner,r1,r2,c2,c2,0.7777777777777778
39,27,Beginner,Beginner,r1,r2,c3,c3,0.7835820895522388
39,28,Beginner,Beginner,r1,r2,c3,c3,0.7388059701492538
39,33,Beginner,Beginner,r1,r2,c3,c3,0.7956204379562044
39,40,Beginner,Beginner,r1,r2,c3,c3,0.7681159420289855
39,41,Beginner,Beginner,r1,r2,c3,c3,0.8134328358208955
39,48,Beginner,Beginner,r1,r2,c3,c3,0.7058823529411765
39,52,Beginner,Beginner,r1,r2,c3,c3,0.8582089552238806
40,30,Beginner,Beginner,r1,r2,c1,c1,0.8985507246376812
40,37,Beginner,Beginner,r1,r2,c1,c1,0.837037037037037
40,38,Beginner,Beginner,r1,r2,c1,c1,0.8518518518518519
40,43,Beginner,Beginner,r1,r2,c1,c1,0.8444444444444444
40,50,Beginner,Beginner,r1,r2,c1,c1,0.9259259259259259
