exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
12,38,Intermediate,Beginner,r1,r1,c2,c2,0.9856305128335898,0.8168934974087017,0.9761503858960896,0.8817777558338675,0.7443888203473474,r1_result.csv
12,41,Intermediate,Beginner,r1,r1,c2,c2,0.9864205453889296,0.8633461931570016,0.9835663641586692,0.8528204317915409,0.7219730941704037,r1_result.csv
12,43,Intermediate,Beginner,r1,r1,c2,c2,0.9896358228007393,0.8670302650591044,0.9864464268465344,0.9257457910052018,0.7415254237288136,r1_result.csv
12,47,Intermediate,Beginner,r1,r1,c2,c2,0.9882135983330352,0.8984686645844459,0.9853156880295172,0.8984945379355981,0.7443609022556391,r1_result.csv
12,48,Intermediate,Beginner,r1,r1,c2,c2,0.9883119558810064,0.8985293584437276,0.9865364728693068,0.8815410692166341,0.7188755020080321,r1_result.csv
12,50,Intermediate,Beginner,r1,r1,c2,c2,0.9864163179228104,0.8728850298561662,0.9842981300809316,0.8801979520884562,0.7212349942901708,r1_result.csv
12,52,Intermediate,Beginner,r1,r1,c2,c2,0.9859331892645424,0.8070542943190082,0.9830927094580928,0.9394857873856064,0.7706913339824732,r1_result.csv
13,25,Intermediate,Beginner,r1,r1,c2,c2,0.9857191495385474,0.7622922840374964,0.9815441413100998,0.9452517405432236,0.7096774193548387,r1_result.csv
13,28,Intermediate,Beginner,r1,r1,c2,c2,0.9844860191131704,0.7016815486853927,0.984379356864043,0.937965271020932,0.6810035842293907,r1_result.csv
13,37,Intermediate,Beginner,r1,r1,c2,c2,0.9852302031172252,0.7024488447551993,0.9806587420505268,0.9233362283507928,0.6939890710382515,r1_result.csv
13,38,Intermediate,Beginner,r1,r1,c2,c2,0.982607123683942,0.7064232260138961,0.97838849821691,0.8648396448668827,0.7389050387596899,r1_result.csv
13,41,Intermediate,Beginner,r1,r1,c2,c2,0.9857943121096908,0.6789856286875204,0.9814047674766888,0.9248691536843788,0.6929500675611979,r1_result.csv
13,43,Intermediate,Beginner,r1,r1,c2,c2,0.986273732610342,0.7049903850859613,0.9819140174108756,0.9443674007968847,0.6966513133325034,r1_result.csv
13,47,Intermediate,Beginner,r1,r1,c2,c2,0.9837437516841948,0.7547967772079325,0.979150133399252,0.9257952645331832,0.7286060047254077,r1_result.csv
13,48,Intermediate,Beginner,r1,r1,c2,c2,0.9873207672223984,0.7720371718204551,0.9828925853245392,0.9407573207442684,0.6977777777777778,r1_result.csv
13,50,Intermediate,Beginner,r1,r1,c2,c2,0.9857120998997472,0.731316249004287,0.9786786769872048,0.886984114528266,0.6833333333333333,r1_result.csv
13,52,Intermediate,Beginner,r1,r1,c2,c2,0.982809634594732,0.7231596763057668,0.9748986299097115,0.9324901390616605,0.7389685603971319,r1_result.csv
14,25,Intermediate,Beginner,r1,r1,c2,c2,0.9855286022735597,0.8502916592315677,0.9839639407618648,0.8740709194848408,0.7538078332569859,r1_result.csv
14,28,Intermediate,Beginner,r1,r1,c2,c2,0.9866203032089944,0.8420217219751895,0.9860767902001693,0.9551246150926844,0.724395274049217,r1_result.csv
14,37,Intermediate,Beginner,r1,r1,c2,c2,0.985293068586082,0.8526958904742117,0.985246751397232,0.925720438674894,0.7320261437908497,r1_result.csv
14,38,Intermediate,Beginner,r1,r1,c2,c2,0.9832398938689396,0.6629631386347468,0.971427608596026,0.9424212278495112,0.7556818181818182,r1_result.csv
14,41,Intermediate,Beginner,r1,r1,c2,c2,0.9828148059171412,0.8093938966826751,0.9800469152527144,0.946850184130258,0.690376569037657,r1_result.csv
14,43,Intermediate,Beginner,r1,r1,c2,c2,0.987621640067624,0.8438989782222208,0.9835595819318494,0.935793035379895,0.7211493170042393,r1_result.csv
14,47,Intermediate,Beginner,r1,r1,c2,c2,0.9864528106224764,0.8519789326543179,0.9818681204653226,0.948006012054481,0.7105263157894737,r1_result.csv
14,48,Intermediate,Beginner,r1,r1,c2,c2,0.9861228905461972,0.805102558465307,0.9839572405252748,0.930681317049202,0.7459459459459461,r1_result.csv
14,50,Intermediate,Beginner,r1,r1,c2,c2,0.987486984147712,0.8457841859878007,0.9852311303707286,0.9356556230446986,0.7175925925925926,r1_result.csv
14,52,Intermediate,Beginner,r1,r1,c2,c2,0.9845225061632736,0.7848465503421287,0.9816894080802308,0.9118298433860774,0.7300613496932515,r1_result.csv
15,26,Intermediate,Beginner,r1,r1,c3,c3,0.98237254752047,0.7018188811538855,0.9791715435010082,0.930647038883842,0.7362637362637363,r1_result.csv
15,29,Intermediate,Beginner,r1,r1,c3,c3,0.979652004473096,0.6612078735878761,0.9729566141668824,0.9381750521561236,0.7450728446110446,r1_result.csv
15,30,Intermediate,Beginner,r1,r1,c3,c3,0.978173727952958,0.8035675133293745,0.9731030823416464,0.9328852159994954,0.7480144039846537,r1_result.csv
15,39,Intermediate,Beginner,r1,r1,c3,c3,0.98141875770246,0.7554322212239322,0.9755148252757968,0.8921954039813896,0.687622346032224,r1_result.csv
15,46,Intermediate,Beginner,r1,r1,c3,c3,0.984751225684622,0.7869000863455629,0.9740535459547216,0.9001531020882415,0.6551724137931034,r1_result.csv
15,9,Intermediate,Beginner,r1,r1,c3,c3,0.9827761278632372,0.7914434110955249,0.975068978724353,0.9256418960650136,0.724212821785689,r1_result.csv
17,25,Intermediate,Beginner,r1,r1,c2,c2,0.980253774853245,0.7553724282172187,0.982076495329514,0.9392468330850132,0.7749999999999999,r1_result.csv
17,28,Intermediate,Beginner,r1,r1,c2,c2,0.9837932810765688,0.7748885369716403,0.9821651422662292,0.8808031512540199,0.7346056234555534,r1_result.csv
17,37,Intermediate,Beginner,r1,r1,c2,c2,0.9845529823301749,0.7794314826425992,0.9846822394896612,0.9444992439085144,0.7447183098591549,r1_result.csv
17,38,Intermediate,Beginner,r1,r1,c2,c2,0.9832333562644618,0.6622633269165078,0.9799676077347446,0.87612630698086,0.7205882352941176,r1_result.csv
17,41,Intermediate,Beginner,r1,r1,c2,c2,0.9852875934437088,0.6796948678868728,0.9823326972247384,0.9388437824030548,0.731787291879035,r1_result.csv
17,43,Intermediate,Beginner,r1,r1,c2,c2,0.984923203650649,0.7714167947150965,0.9823094629781748,0.9242733488333876,0.6938171047760089,r1_result.csv
17,47,Intermediate,Beginner,r1,r1,c2,c2,0.981114668261736,0.7679813260790143,0.9840326370449182,0.8260631824555836,0.7267080745341615,r1_result.csv
17,48,Intermediate,Beginner,r1,r1,c2,c2,0.9861415050866588,0.7734357594776932,0.9860201541123588,0.9196295389838556,0.7546964893741928,r1_result.csv
