exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
27,43,vehicle,low,low,0.8727376784849002,Java_low_results.csv
10,140,vehicle,low,low,0.787299099251796,Java_low_results.csv
21,124,vehicle,low,low,0.7998901629373916,Java_low_results.csv
10,170,vehicle,low,low,0.8420238093421849,Java_low_results.csv
27,74,vehicle,low,low,0.8160870526552189,Java_low_results.csv
10,172,vehicle,low,low,0.8393830941148765,Java_low_results.csv
21,126,vehicle,low,low,0.755010718403476,Java_low_results.csv
27,77,vehicle,low,low,0.9015523101453892,Java_low_results.csv
10,176,vehicle,low,low,0.8432108756730535,Java_low_results.csv
21,128,vehicle,low,low,0.8065929465524139,Java_low_results.csv
21,37,vehicle,low,low,0.7864017151651403,Java_low_results.csv
27,78,vehicle,low,low,0.8137110620820925,Java_low_results.csv
10,179,vehicle,low,low,0.8627833120687977,Java_low_results.csv
21,132,vehicle,low,low,0.7972958136383799,Java_low_results.csv
10,74,vehicle,low,low,0.7898344022318874,Java_low_results.csv
27,79,vehicle,low,low,0.8904706943773294,Java_low_results.csv
10,180,vehicle,low,low,0.7958080147789902,Java_low_results.csv
10,34,vehicle,low,low,0.8279500915464838,Java_low_results.csv
21,172,vehicle,low,low,0.7638221525414054,Java_low_results.csv
13,132,vehicle,low,low,0.8560767106636533,Java_low_results.csv
21,44,vehicle,low,low,0.7683957526194327,Java_low_results.csv
10,64,vehicle,low,low,0.8714738081410306,Java_low_results.csv
10,77,vehicle,low,low,0.8393358595874681,Java_low_results.csv
27,94,vehicle,low,low,0.8547060192899596,Java_low_results.csv
13,139,vehicle,low,low,0.8482500371883201,Java_low_results.csv
10,182,vehicle,low,low,0.8578126970082407,Java_low_results.csv
21,139,vehicle,low,low,0.8120679935489122,Java_low_results.csv
10,126,vehicle,low,low,0.8472386743029935,Java_low_results.csv
21,56,vehicle,low,low,0.819754331611382,Java_low_results.csv
10,78,vehicle,low,low,0.7647132756859097,Java_low_results.csv
10,114,vehicle,low,low,0.7984798186929529,Java_low_results.csv
13,140,vehicle,low,low,0.8332592469624802,Java_low_results.csv
10,183,vehicle,low,low,0.822044616198698,Java_low_results.csv
21,60,vehicle,low,low,0.7823251641958132,Java_low_results.csv
27,99,vehicle,low,low,0.8790008243128694,Java_low_results.csv
21,140,vehicle,low,low,0.8112459968043089,Java_low_results.csv
10,27,vehicle,low,low,0.8386117683027405,Java_low_results.csv
10,56,vehicle,low,low,0.7819498354139787,Java_low_results.csv
21,63,vehicle,low,low,0.8115281140929067,Java_low_results.csv
13,44,vehicle,low,low,0.8211127555366775,Java_low_results.csv
27,101,vehicle,low,low,0.9423404707907876,Java_low_results.csv
10,200,vehicle,low,low,0.7794685038760629,Java_low_results.csv
13,126,vehicle,low,low,0.821670108698007,Java_low_results.csv
13,164,vehicle,low,low,0.8392268656758289,Java_low_results.csv
13,21,vehicle,low,low,0.7995756518443827,Java_low_results.csv
27,114,vehicle,low,low,0.7387970644267664,Java_low_results.csv
27,140,vehicle,low,low,0.8533955310035025,Java_low_results.csv
27,104,vehicle,low,low,0.8361781760714209,Java_low_results.csv
27,126,vehicle,low,low,0.9069514432897954,Java_low_results.csv
27,139,vehicle,low,low,0.8423002366256279,Java_low_results.csv
27,179,vehicle,low,low,0.930588046807584,Java_low_results.csv
27,176,vehicle,low,low,0.9023284738417277,Java_low_results.csv
27,180,vehicle,low,low,0.8610635935911951,Java_low_results.csv
27,182,vehicle,low,low,0.904836447896593,Java_low_results.csv
27,128,vehicle,low,low,0.9318492655275322,Java_low_results.csv
27,172,vehicle,low,low,0.8948102373484247,Java_low_results.csv
27,164,vehicle,low,low,0.8238070509980704,Java_low_results.csv
27,200,vehicle,low,low,0.8407636220142249,Java_low_results.csv
29,34,vehicle,low,low,0.81192693205739,Java_low_results.csv
27,183,vehicle,low,low,0.8755101951219068,Java_low_results.csv
27,124,vehicle,low,low,0.8664965702512879,Java_low_results.csv
27,170,vehicle,low,low,0.8869084712075042,Java_low_results.csv
27,132,vehicle,low,low,0.8825014867279837,Java_low_results.csv
29,56,vehicle,low,low,0.8107237823839543,Java_low_results.csv
29,78,vehicle,low,low,0.8229258828295819,Java_low_results.csv
29,35,vehicle,low,low,0.8488496399988322,Java_low_results.csv
29,37,vehicle,low,low,0.8066431938584793,Java_low_results.csv
29,63,vehicle,low,low,0.8310493177979287,Java_low_results.csv
29,41,vehicle,low,low,0.8271564189772742,Java_low_results.csv
29,44,vehicle,low,low,0.8347110188418524,Java_low_results.csv
29,65,vehicle,low,low,0.8602022065193565,Java_low_results.csv
29,114,vehicle,low,low,0.8203676864711525,Java_low_results.csv
29,104,vehicle,low,low,0.8409739521578802,Java_low_results.csv
29,74,vehicle,low,low,0.813378483476451,Java_low_results.csv
29,139,vehicle,low,low,0.8328025525239162,Java_low_results.csv
29,124,vehicle,low,low,0.7836873848753036,Java_low_results.csv
29,126,vehicle,low,low,0.8033644478863026,Java_low_results.csv
29,164,vehicle,low,low,0.7913420598902632,Java_low_results.csv
29,94,vehicle,low,low,0.7791848844185125,Java_low_results.csv
29,132,vehicle,low,low,0.7895506679268883,Java_low_results.csv
