exp_a,exp_b,trial_id,Shape,Length,Direction,Position,Duration
6,204,2,0.9895397353065654,0.6350694171450627,0.9846584996553315,0.8813461185668232,0.7777777777777779
6,211,2,0.9943845169238652,0.7099873712194474,0.9931443883586435,0.9538116012260216,0.6896551724137931
6,216,2,0.9899996127149808,0.6893936932756916,0.9864560864473415,0.9106560615990258,0.7391304347826088
14,3,2,0.9936458381522394,0.7324617884511002,0.992979956309856,0.869458706541044,0.699177438307873
14,5,2,0.9933376653176466,0.7175662883256799,0.9923284606638133,0.9405179367045566,0.6818181818181819
14,12,2,0.9923153469383621,0.6645853023937975,0.9894591066275664,0.9148430763671442,0.653846153846154
14,28,2,0.9912145338542616,0.6399489593988176,0.9864844087163689,0.9308968964301009,0.6352549889135255
14,30,2,0.9927651769335866,0.7213882787007772,0.9911494411796674,0.9136647079308262,0.6442687747035574
14,36,2,0.9907607977730077,0.704492934220644,0.9869909548783443,0.9194939659931476,0.6721311475409837
14,38,2,0.9925366863063194,0.6663255819227809,0.9905796697301825,0.8298385517985953,0.7013513513513514
14,59,2,0.9915988522573568,0.7289503465448869,0.9870498058598663,0.8919953512056187,0.674172794117647
14,93,2,0.9934648360648988,0.5577907735463478,0.9903205143296568,0.8840966403242069,0.6666666666666665
14,96,2,0.9921700474839702,0.7111460156657877,0.98926612001421,0.9193220056377776,0.6071428571428572
14,106,2,0.9925797514938213,0.6698852257586106,0.9895086108016767,0.9119894618185221,0.7037037037037037
14,110,2,0.9943683127674697,0.7071249041099843,0.9928686351817649,0.9475986998267526,0.7096774193548387
14,116,2,0.9924537332642869,0.7352065237660859,0.9892283453466657,0.9354639248855541,0.6417112299465241
14,141,2,0.9913885141425383,0.7242963495531931,0.9872665222326716,0.9056927595707339,0.6
14,154,2,0.9926084790738613,0.670913509558418,0.9902685673500646,0.9093914739278993,0.6296296296296298
14,163,2,0.9896050706481608,0.7141777840634691,0.9845792607295558,0.8868809047061216,0.5925925925925926
14,181,2,0.992004994542577,0.6668273231158096,0.9907633040290568,0.943626510642107,0.6582156611039794
14,189,2,0.9929011050143111,0.7113981222473222,0.9906770910532783,0.9065233118414975,0.6578947368421053
14,196,2,0.9895440749560993,0.6557244743393011,0.9848358309450537,0.8993711673719634,0.6521739130434783
14,201,2,0.9930438576828591,0.592892314610588,0.9898131086268743,0.9470861443547935,0.7307692307692308
14,204,2,0.9908529593450622,0.5608565729656669,0.9855554345902491,0.9221270330103603,0.7
14,211,2,0.9945256971636031,0.7308616563991288,0.9926347142352057,0.9431421511495608,0.6849624060150376
14,216,2,0.9899664633366141,0.6679901998141691,0.9848992855752357,0.9065693660387891,0.6666666666666666
15,3,2,0.9936831982391261,0.6682297854028376,0.9925284107417909,0.8936718017544405,0.7142857142857142
15,5,2,0.9923660511490308,0.7533825254458406,0.9894551997756569,0.8982883406326111,0.6857142857142857
15,12,2,0.9925865930977784,0.7021617540783458,0.9889725278378884,0.831305369210255,0.6578947368421053
15,28,2,0.9918375431032806,0.7707377255378756,0.98759783201127,0.9408501122335816,0.653846153846154
15,30,2,0.9930677550457357,0.8104409379925266,0.991127140701915,0.8809871631067147,0.6978260869565218
15,36,2,0.9910805937753986,0.7644887842611261,0.9860620788844898,0.8461612211227908,0.7022727272727274
15,38,2,0.9929874197144124,0.7213804561290211,0.9897676021439717,0.8451736285260635,0.6785714285714286
15,59,2,0.9889713782085607,0.6731635534870166,0.9837695323838134,0.8803452333206683,0.6792857142857143
15,93,2,0.9904877405893058,0.6894155500709787,0.9844994890582005,0.9125066846196811,0.6772093023255814
15,96,2,0.9923930453860713,0.6998026388203447,0.9903078213822976,0.9113655894884346,0.639344262295082
