exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld,source_file
35,94,2,low,low,165.0,0.9649122807017544,Java_low_results.csv
35,101,2,low,low,165.0,0.9649122807017544,Java_low_results.csv
35,99,2,low,low,157.0,0.907514450867052,Java_low_results.csv
35,107,2,low,low,186.0,0.8942307692307693,Java_low_results.csv
35,79,2,low,low,283.0,0.9129032258064516,Java_low_results.csv
35,104,2,low,low,247.0,0.8697183098591549,Java_low_results.csv
35,77,2,low,low,357.0,0.9177377892030848,Java_low_results.csv
35,64,2,low,low,555.0,0.9375,Java_low_results.csv
35,124,2,low,low,264.0,0.9263157894736842,Java_low_results.csv
35,128,2,low,low,197.0,0.8106995884773662,Java_low_results.csv
35,138,2,low,low,144.0,0.8421052631578947,Java_low_results.csv
35,126,2,low,low,302.0,0.9467084639498432,Java_low_results.csv
35,172,2,low,low,173.0,0.9942528735632185,Java_low_results.csv
35,140,2,low,low,207.0,0.9324324324324323,Java_low_results.csv
35,164,2,low,low,215.0,0.9148936170212766,Java_low_results.csv
35,162,2,low,low,224.0,0.8484848484848485,Java_low_results.csv
35,180,2,low,low,164.0,0.95906432748538,Java_low_results.csv
35,132,2,low,low,375.0,0.9168704156479216,Java_low_results.csv
35,200,2,low,low,168.0,0.9491525423728814,Java_low_results.csv
35,186,2,low,low,198.0,0.8646288209606987,Java_low_results.csv
35,183,2,low,low,250.0,0.8928571428571429,Java_low_results.csv
35,179,2,low,low,352.0,0.9190600522193212,Java_low_results.csv
35,176,2,low,low,435.0,0.8630952380952381,Java_low_results.csv
35,182,2,low,low,365.0,0.9125,Java_low_results.csv
37,65,2,low,low,200.0,0.9174311926605504,Java_low_results.csv
37,56,2,low,low,199.0,0.9128440366972476,Java_low_results.csv
37,43,2,low,low,266.0,0.9172413793103448,Java_low_results.csv
37,41,2,low,low,286.0,0.89937106918239,Java_low_results.csv
37,71,2,low,low,201.0,0.9220183486238532,Java_low_results.csv
37,74,2,low,low,191.0,0.8761467889908257,Java_low_results.csv
37,63,2,low,low,238.0,0.9153846153846154,Java_low_results.csv
37,44,2,low,low,277.0,0.9453924914675768,Java_low_results.csv
37,60,2,low,low,289.0,0.9444444444444444,Java_low_results.csv
37,67,2,low,low,202.0,0.926605504587156,Java_low_results.csv
37,78,2,low,low,192.0,0.8807339449541285,Java_low_results.csv
37,94,2,low,low,196.0,0.8990825688073395,Java_low_results.csv
37,99,2,low,low,189.0,0.8669724770642202,Java_low_results.csv
37,101,2,low,low,193.0,0.8853211009174312,Java_low_results.csv
37,107,2,low,low,195.0,0.8944954128440367,Java_low_results.csv
37,79,2,low,low,283.0,0.9129032258064516,Java_low_results.csv
37,77,2,low,low,353.0,0.9074550128534704,Java_low_results.csv
37,64,2,low,low,544.0,0.918918918918919,Java_low_results.csv
37,104,2,low,low,244.0,0.8591549295774648,Java_low_results.csv
37,124,2,low,low,261.0,0.9157894736842104,Java_low_results.csv
