exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
20,17,Intermediate,Intermediate,r1,r2,c3,c3,38.22626310743857
20,31,Intermediate,Intermediate,r1,r2,c3,c3,37.34032729586329
20,42,Intermediate,Intermediate,r1,r2,c3,c3,45.57120048907235
20,51,Intermediate,Intermediate,r1,r2,c3,c3,38.29151429741422
21,14,Intermediate,Intermediate,r1,r2,c3,c3,35.599820845946184
21,17,Intermediate,Intermediate,r1,r2,c3,c3,31.49434397641021
21,31,Intermediate,Intermediate,r1,r2,c3,c3,32.030478794308
21,42,Intermediate,Intermediate,r1,r2,c3,c3,39.672193977516
21,51,Intermediate,Intermediate,r1,r2,c3,c3,31.74529296069447
22,14,Intermediate,Intermediate,r1,r2,c3,c3,41.53833365786933
22,17,Intermediate,Intermediate,r1,r2,c3,c3,37.30655510470978
22,31,Intermediate,Intermediate,r1,r2,c3,c3,38.737800281208465
22,42,Intermediate,Intermediate,r1,r2,c3,c3,43.836485643990954
22,51,Intermediate,Intermediate,r1,r2,c3,c3,37.90342676986
23,14,Intermediate,Intermediate,r1,r2,c3,c3,44.143386192570915
23,17,Intermediate,Intermediate,r1,r2,c3,c3,40.73906256159167
23,31,Intermediate,Intermediate,r1,r2,c3,c3,41.065113191413694
23,42,Intermediate,Intermediate,r1,r2,c3,c3,47.9119112257794
23,51,Intermediate,Intermediate,r1,r2,c3,c3,40.70025989776741
31,11,Intermediate,Intermediate,r1,r2,c1,c1,40.67673176033453
31,12,Intermediate,Intermediate,r1,r2,c1,c1,40.813952633516976
31,13,Intermediate,Intermediate,r1,r2,c1,c1,38.666853435772005
31,19,Intermediate,Intermediate,r1,r2,c1,c1,42.614773870144774
31,20,Intermediate,Intermediate,r1,r2,c1,c1,35.77337056052293
31,23,Intermediate,Intermediate,r1,r2,c1,c1,43.05263701554276
31,34,Intermediate,Intermediate,r1,r2,c1,c1,39.46659343770604
31,44,Intermediate,Intermediate,r1,r2,c1,c1,41.45819581946879
32,11,Intermediate,Intermediate,r1,r2,c1,c1,48.13723624637474
32,12,Intermediate,Intermediate,r1,r2,c1,c1,47.13103043134482
32,13,Intermediate,Intermediate,r1,r2,c1,c1,45.07934715235066
32,19,Intermediate,Intermediate,r1,r2,c1,c1,49.47324819359434
32,20,Intermediate,Intermediate,r1,r2,c1,c1,42.63022296191611
32,23,Intermediate,Intermediate,r1,r2,c1,c1,48.797105821720685
32,34,Intermediate,Intermediate,r1,r2,c1,c1,45.83302570305732
32,44,Intermediate,Intermediate,r1,r2,c1,c1,47.09163537340502
34,10,Intermediate,Intermediate,r1,r2,c2,c2,44.04955413864078
34,15,Intermediate,Intermediate,r1,r2,c2,c2,35.33806576040043
34,18,Intermediate,Intermediate,r1,r2,c2,c2,44.73555413890656
34,21,Intermediate,Intermediate,r1,r2,c2,c2,44.97455999072198
34,22,Intermediate,Intermediate,r1,r2,c2,c2,43.43206642451355
34,32,Intermediate,Intermediate,r1,r2,c2,c2,29.349372448011206
34,35,Intermediate,Intermediate,r1,r2,c2,c2,45.27404289908469
34,45,Intermediate,Intermediate,r1,r2,c2,c2,46.897510883702054
34,53,Intermediate,Intermediate,r1,r2,c2,c2,43.38534973389484
35,11,Intermediate,Intermediate,r1,r2,c1,c1,45.68870922435595
35,12,Intermediate,Intermediate,r1,r2,c1,c1,45.49543717438693
35,13,Intermediate,Intermediate,r1,r2,c1,c1,43.011722839753745
35,19,Intermediate,Intermediate,r1,r2,c1,c1,46.86511048220708
35,20,Intermediate,Intermediate,r1,r2,c1,c1,39.81515384397014
35,23,Intermediate,Intermediate,r1,r2,c1,c1,46.774717486928616
35,34,Intermediate,Intermediate,r1,r2,c1,c1,44.410663591861784
35,44,Intermediate,Intermediate,r1,r2,c1,c1,47.43786697165059
42,10,Intermediate,Intermediate,r1,r2,c2,c2,44.99523757269378
42,15,Intermediate,Intermediate,r1,r2,c2,c2,41.5488341287403
42,18,Intermediate,Intermediate,r1,r2,c2,c2,48.033620992756994
42,21,Intermediate,Intermediate,r1,r2,c2,c2,48.643634741388695
42,22,Intermediate,Intermediate,r1,r2,c2,c2,45.90988771916667
42,32,Intermediate,Intermediate,r1,r2,c2,c2,35.670577407288846
42,35,Intermediate,Intermediate,r1,r2,c2,c2,48.962455483880674
42,45,Intermediate,Intermediate,r1,r2,c2,c2,49.11478319092376
42,53,Intermediate,Intermediate,r1,r2,c2,c2,48.37199675501905
44,14,Intermediate,Intermediate,r1,r2,c3,c3,44.51536545372723
44,17,Intermediate,Intermediate,r1,r2,c3,c3,41.18385547088829
