exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
13,132,vehicle,low,low,469.0,0.8496376811594203,Java_low_results.csv
13,176,vehicle,low,low,470.0,0.8514492753623188,Java_low_results.csv
21,128,vehicle,low,low,447.0,0.9066937119675456,Java_low_results.csv
21,63,vehicle,low,low,312.0,0.8813559322033898,Java_low_results.csv
13,94,vehicle,low,low,486.0,0.8804347826086957,Java_low_results.csv
27,35,vehicle,low,low,240.0,0.9056603773584906,Java_low_results.csv
13,43,vehicle,low,low,466.0,0.8442028985507246,Java_low_results.csv
21,37,vehicle,low,low,314.0,0.8870056497175142,Java_low_results.csv
10,99,vehicle,low,low,267.0,0.902027027027027,Java_low_results.csv
21,132,vehicle,low,low,315.0,0.8898305084745762,Java_low_results.csv
21,64,vehicle,low,low,514.0,0.8682432432432432,Java_low_results.csv
13,128,vehicle,low,low,485.0,0.8786231884057971,Java_low_results.csv
13,126,vehicle,low,low,470.0,0.8514492753623188,Java_low_results.csv
27,37,vehicle,low,low,228.0,0.8837209302325582,Java_low_results.csv
10,132,vehicle,low,low,245.0,0.8277027027027027,Java_low_results.csv
21,65,vehicle,low,low,321.0,0.9067796610169492,Java_low_results.csv
10,101,vehicle,low,low,798.0,0.9193548387096774,Java_low_results.csv
13,124,vehicle,low,low,479.0,0.8677536231884058,Java_low_results.csv
27,41,vehicle,low,low,306.0,0.918918918918919,Java_low_results.csv
21,139,vehicle,low,low,304.0,0.8587570621468926,Java_low_results.csv
10,139,vehicle,low,low,107.0,0.7925925925925926,Java_low_results.csv
10,104,vehicle,low,low,207.0,0.8961038961038961,Java_low_results.csv
13,182,vehicle,low,low,492.0,0.8913043478260869,Java_low_results.csv
13,114,vehicle,low,low,496.0,0.8985507246376812,Java_low_results.csv
21,140,vehicle,low,low,318.0,0.8983050847457628,Java_low_results.csv
10,140,vehicle,low,low,167.0,0.7522522522522522,Java_low_results.csv
13,183,vehicle,low,low,471.0,0.8532608695652174,Java_low_results.csv
10,29,vehicle,low,low,168.0,0.918032786885246,Java_low_results.csv
10,65,vehicle,low,low,113.0,0.837037037037037,Java_low_results.csv
21,74,vehicle,low,low,318.0,0.8983050847457628,Java_low_results.csv
13,104,vehicle,low,low,480.0,0.8695652173913043,Java_low_results.csv
21,77,vehicle,low,low,350.0,0.8997429305912596,Java_low_results.csv
13,101,vehicle,low,low,729.0,0.8398617511520737,Java_low_results.csv
21,164,vehicle,low,low,327.0,0.923728813559322,Java_low_results.csv
13,200,vehicle,low,low,487.0,0.8822463768115942,Java_low_results.csv
10,74,vehicle,low,low,109.0,0.8074074074074075,Java_low_results.csv
21,78,vehicle,low,low,326.0,0.9209039548022598,Java_low_results.csv
13,44,vehicle,low,low,463.0,0.8387681159420289,Java_low_results.csv
10,124,vehicle,low,low,248.0,0.8701754385964913,Java_low_results.csv
13,78,vehicle,low,low,496.0,0.8985507246376812,Java_low_results.csv
10,77,vehicle,low,low,324.0,0.8329048843187661,Java_low_results.csv
10,79,vehicle,low,low,246.0,0.7935483870967742,Java_low_results.csv
21,27,vehicle,low,low,327.0,0.923728813559322,Java_low_results.csv
13,77,vehicle,low,low,467.0,0.8460144927536232,Java_low_results.csv
10,35,vehicle,low,low,212.0,0.8,Java_low_results.csv
10,60,vehicle,low,low,259.0,0.8464052287581699,Java_low_results.csv
21,29,vehicle,low,low,309.0,0.8728813559322034,Java_low_results.csv
13,74,vehicle,low,low,490.0,0.8876811594202898,Java_low_results.csv
13,27,vehicle,low,low,502.0,0.9094202898550724,Java_low_results.csv
21,172,vehicle,low,low,304.0,0.8587570621468926,Java_low_results.csv
10,63,vehicle,low,low,203.0,0.7807692307692308,Java_low_results.csv
13,180,vehicle,low,low,470.0,0.8514492753623188,Java_low_results.csv
21,31,vehicle,low,low,324.0,0.9152542372881356,Java_low_results.csv
10,43,vehicle,low,low,239.0,0.8241379310344827,Java_low_results.csv
21,94,vehicle,low,low,290.0,0.8192090395480226,Java_low_results.csv
21,34,vehicle,low,low,295.0,0.8333333333333334,Java_low_results.csv
10,128,vehicle,low,low,420.0,0.8519269776876268,Java_low_results.csv
21,41,vehicle,low,low,339.0,0.9576271186440678,Java_low_results.csv
21,35,vehicle,low,low,288.0,0.8135593220338984,Java_low_results.csv
10,172,vehicle,low,low,168.0,0.9655172413793104,Java_low_results.csv
21,101,vehicle,low,low,739.0,0.8513824884792627,Java_low_results.csv
27,65,vehicle,low,low,81.0,0.8181818181818182,Java_low_results.csv
27,74,vehicle,low,low,76.0,0.7835051546391752,Java_low_results.csv
27,78,vehicle,low,low,79.0,0.8404255319148937,Java_low_results.csv
27,94,vehicle,low,low,129.0,0.9485294117647058,Java_low_results.csv
27,63,vehicle,low,low,226.0,0.8692307692307693,Java_low_results.csv
27,43,vehicle,low,low,262.0,0.903448275862069,Java_low_results.csv
27,139,vehicle,low,low,104.0,0.9285714285714286,Java_low_results.csv
27,79,vehicle,low,low,283.0,0.9129032258064516,Java_low_results.csv
27,56,vehicle,low,low,130.0,0.8904109589041096,Java_low_results.csv
27,114,vehicle,low,low,68.0,0.7727272727272727,Java_low_results.csv
27,140,vehicle,low,low,199.0,0.8963963963963963,Java_low_results.csv
27,77,vehicle,low,low,341.0,0.8766066838046273,Java_low_results.csv
27,132,vehicle,low,low,269.0,0.9087837837837838,Java_low_results.csv
27,172,vehicle,low,low,156.0,0.896551724137931,Java_low_results.csv
27,164,vehicle,low,low,196.0,0.8340425531914893,Java_low_results.csv
27,104,vehicle,low,low,202.0,0.8744588744588745,Java_low_results.csv
27,44,vehicle,low,low,257.0,0.8771331058020477,Java_low_results.csv
27,128,vehicle,low,low,466.0,0.9452332657200812,Java_low_results.csv
27,126,vehicle,low,low,293.0,0.9184952978056428,Java_low_results.csv
27,170,vehicle,low,low,286.0,0.8854489164086687,Java_low_results.csv
27,180,vehicle,low,low,138.0,0.8734177215189873,Java_low_results.csv
27,124,vehicle,low,low,257.0,0.9017543859649124,Java_low_results.csv
27,60,vehicle,low,low,274.0,0.8954248366013072,Java_low_results.csv
27,200,vehicle,low,low,153.0,0.864406779661017,Java_low_results.csv
27,99,vehicle,low,low,263.0,0.8885135135135135,Java_low_results.csv
27,176,vehicle,low,low,364.0,0.8921568627450981,Java_low_results.csv
27,183,vehicle,low,low,250.0,0.8928571428571429,Java_low_results.csv
27,182,vehicle,low,low,361.0,0.9025,Java_low_results.csv
27,179,vehicle,low,low,357.0,0.9321148825065274,Java_low_results.csv
29,65,vehicle,low,low,163.0,0.8907103825136612,Java_low_results.csv
27,64,vehicle,low,low,540.0,0.9121621621621622,Java_low_results.csv
29,74,vehicle,low,low,163.0,0.8907103825136612,Java_low_results.csv
29,56,vehicle,low,low,163.0,0.8907103825136612,Java_low_results.csv
29,34,vehicle,low,low,188.0,0.9215686274509804,Java_low_results.csv
27,101,vehicle,low,low,822.0,0.9470046082949308,Java_low_results.csv
29,78,vehicle,low,low,166.0,0.907103825136612,Java_low_results.csv
29,35,vehicle,low,low,227.0,0.8566037735849057,Java_low_results.csv
29,37,vehicle,low,low,226.0,0.875968992248062,Java_low_results.csv
29,31,vehicle,low,low,226.0,0.8560606060606061,Java_low_results.csv
29,114,vehicle,low,low,163.0,0.8907103825136612,Java_low_results.csv
29,94,vehicle,low,low,154.0,0.8415300546448088,Java_low_results.csv
29,63,vehicle,low,low,226.0,0.8692307692307693,Java_low_results.csv
29,43,vehicle,low,low,257.0,0.8862068965517241,Java_low_results.csv
29,44,vehicle,low,low,259.0,0.8839590443686007,Java_low_results.csv
29,60,vehicle,low,low,268.0,0.8758169934640523,Java_low_results.csv
29,41,vehicle,low,low,291.0,0.8738738738738738,Java_low_results.csv
29,139,vehicle,low,low,167.0,0.912568306010929,Java_low_results.csv
29,104,vehicle,low,low,203.0,0.8787878787878788,Java_low_results.csv
29,79,vehicle,low,low,269.0,0.867741935483871,Java_low_results.csv
29,77,vehicle,low,low,341.0,0.8766066838046273,Java_low_results.csv
29,99,vehicle,low,low,264.0,0.8918918918918919,Java_low_results.csv
29,124,vehicle,low,low,245.0,0.8596491228070176,Java_low_results.csv
29,172,vehicle,low,low,155.0,0.8469945355191257,Java_low_results.csv
29,140,vehicle,low,low,204.0,0.918918918918919,Java_low_results.csv
29,180,vehicle,low,low,165.0,0.9016393442622952,Java_low_results.csv
29,164,vehicle,low,low,211.0,0.8978723404255319,Java_low_results.csv
29,126,vehicle,low,low,274.0,0.8589341692789969,Java_low_results.csv
29,132,vehicle,low,low,255.0,0.8614864864864865,Java_low_results.csv
29,170,vehicle,low,low,276.0,0.8544891640866873,Java_low_results.csv
29,200,vehicle,low,low,168.0,0.918032786885246,Java_low_results.csv
29,64,vehicle,low,low,532.0,0.8986486486486487,Java_low_results.csv
29,183,vehicle,low,low,240.0,0.8571428571428571,Java_low_results.csv
29,128,vehicle,low,low,439.0,0.8904665314401623,Java_low_results.csv
29,179,vehicle,low,low,320.0,0.835509138381201,Java_low_results.csv
29,176,vehicle,low,low,356.0,0.8725490196078431,Java_low_results.csv
31,56,vehicle,low,low,225.0,0.8522727272727273,Java_low_results.csv
31,34,vehicle,low,low,237.0,0.8977272727272727,Java_low_results.csv
31,65,vehicle,low,low,226.0,0.8560606060606061,Java_low_results.csv
29,182,vehicle,low,low,357.0,0.8925,Java_low_results.csv
31,74,vehicle,low,low,223.0,0.8446969696969697,Java_low_results.csv
31,37,vehicle,low,low,246.0,0.9318181818181818,Java_low_results.csv
31,43,vehicle,low,low,255.0,0.8793103448275862,Java_low_results.csv
31,63,vehicle,low,low,225.0,0.8522727272727273,Java_low_results.csv
31,35,vehicle,low,low,235.0,0.8867924528301887,Java_low_results.csv
31,78,vehicle,low,low,226.0,0.8560606060606061,Java_low_results.csv
31,94,vehicle,low,low,231.0,0.875,Java_low_results.csv
29,101,vehicle,low,low,808.0,0.9308755760368664,Java_low_results.csv
31,104,vehicle,low,low,243.0,0.9204545454545454,Java_low_results.csv
31,114,vehicle,low,low,218.0,0.8257575757575758,Java_low_results.csv
31,60,vehicle,low,low,274.0,0.8954248366013072,Java_low_results.csv
31,99,vehicle,low,low,269.0,0.9087837837837838,Java_low_results.csv
31,44,vehicle,low,low,267.0,0.9112627986348124,Java_low_results.csv
31,41,vehicle,low,low,260.0,0.7807807807807807,Java_low_results.csv
31,79,vehicle,low,low,271.0,0.8741935483870967,Java_low_results.csv
31,77,vehicle,low,low,306.0,0.7866323907455013,Java_low_results.csv
31,164,vehicle,low,low,240.0,0.9090909090909092,Java_low_results.csv
31,172,vehicle,low,low,228.0,0.8636363636363636,Java_low_results.csv
31,132,vehicle,low,low,272.0,0.918918918918919,Java_low_results.csv
31,139,vehicle,low,low,220.0,0.8333333333333334,Java_low_results.csv
31,180,vehicle,low,low,216.0,0.8181818181818182,Java_low_results.csv
31,170,vehicle,low,low,259.0,0.8018575851393189,Java_low_results.csv
34,56,vehicle,low,low,172.0,0.8431372549019608,Java_low_results.csv
31,124,vehicle,low,low,257.0,0.9017543859649124,Java_low_results.csv
34,35,vehicle,low,low,223.0,0.8415094339622642,Java_low_results.csv
31,128,vehicle,low,low,427.0,0.8661257606490872,Java_low_results.csv
31,200,vehicle,low,low,217.0,0.821969696969697,Java_low_results.csv
34,37,vehicle,low,low,231.0,0.8953488372093024,Java_low_results.csv
34,43,vehicle,low,low,257.0,0.8862068965517241,Java_low_results.csv
34,41,vehicle,low,low,288.0,0.8648648648648649,Java_low_results.csv
34,65,vehicle,low,low,183.0,0.8970588235294118,Java_low_results.csv
34,74,vehicle,low,low,180.0,0.8823529411764706,Java_low_results.csv
34,60,vehicle,low,low,275.0,0.8986928104575164,Java_low_results.csv
34,94,vehicle,low,low,173.0,0.8480392156862745,Java_low_results.csv
34,63,vehicle,low,low,232.0,0.8923076923076924,Java_low_results.csv
34,78,vehicle,low,low,188.0,0.9215686274509804,Java_low_results.csv
31,179,vehicle,low,low,325.0,0.8485639686684073,Java_low_results.csv
31,140,vehicle,low,low,212.0,0.803030303030303,Java_low_results.csv
34,114,vehicle,low,low,189.0,0.9264705882352942,Java_low_results.csv
34,79,vehicle,low,low,264.0,0.8516129032258064,Java_low_results.csv
31,101,vehicle,low,low,755.0,0.869815668202765,Java_low_results.csv
34,99,vehicle,low,low,264.0,0.8918918918918919,Java_low_results.csv
34,104,vehicle,low,low,213.0,0.922077922077922,Java_low_results.csv
34,77,vehicle,low,low,323.0,0.8303341902313625,Java_low_results.csv
31,64,vehicle,low,low,516.0,0.8716216216216216,Java_low_results.csv
34,139,vehicle,low,low,170.0,0.8333333333333334,Java_low_results.csv
34,124,vehicle,low,low,253.0,0.887719298245614,Java_low_results.csv
34,140,vehicle,low,low,206.0,0.927927927927928,Java_low_results.csv
31,126,vehicle,low,low,303.0,0.9498432601880876,Java_low_results.csv
34,172,vehicle,low,low,186.0,0.9117647058823528,Java_low_results.csv
34,164,vehicle,low,low,220.0,0.9361702127659576,Java_low_results.csv
34,180,vehicle,low,low,177.0,0.8676470588235294,Java_low_results.csv
34,170,vehicle,low,low,283.0,0.8761609907120743,Java_low_results.csv
31,183,vehicle,low,low,256.0,0.9142857142857144,Java_low_results.csv
34,44,vehicle,low,low,245.0,0.8361774744027304,Java_low_results.csv
34,179,vehicle,low,low,343.0,0.8955613577023499,Java_low_results.csv
34,183,vehicle,low,low,259.0,0.925,Java_low_results.csv
34,176,vehicle,low,low,330.0,0.8088235294117647,Java_low_results.csv
35,37,vehicle,low,low,249.0,0.939622641509434,Java_low_results.csv
34,182,vehicle,low,low,361.0,0.9025,Java_low_results.csv
34,101,vehicle,low,low,769.0,0.8859447004608295,Java_low_results.csv
35,65,vehicle,low,low,230.0,0.8679245283018868,Java_low_results.csv
35,43,vehicle,low,low,259.0,0.8931034482758621,Java_low_results.csv
35,41,vehicle,low,low,286.0,0.8588588588588588,Java_low_results.csv
34,126,vehicle,low,low,278.0,0.8714733542319749,Java_low_results.csv
35,78,vehicle,low,low,231.0,0.8716981132075472,Java_low_results.csv
35,74,vehicle,low,low,220.0,0.8301886792452831,Java_low_results.csv
34,200,vehicle,low,low,195.0,0.9558823529411764,Java_low_results.csv
35,63,vehicle,low,low,231.0,0.8716981132075472,Java_low_results.csv
35,94,vehicle,low,low,213.0,0.8037735849056604,Java_low_results.csv
35,114,vehicle,low,low,230.0,0.8679245283018868,Java_low_results.csv
31,176,vehicle,low,low,355.0,0.8700980392156863,Java_low_results.csv
34,132,vehicle,low,low,251.0,0.847972972972973,Java_low_results.csv
31,182,vehicle,low,low,343.0,0.8575,Java_low_results.csv
35,44,vehicle,low,low,252.0,0.8600682593856656,Java_low_results.csv
35,104,vehicle,low,low,235.0,0.8867924528301887,Java_low_results.csv
34,128,vehicle,low,low,436.0,0.8843813387423936,Java_low_results.csv
35,56,vehicle,low,low,226.0,0.8528301886792453,Java_low_results.csv
35,79,vehicle,low,low,255.0,0.8225806451612904,Java_low_results.csv
35,99,vehicle,low,low,279.0,0.9425675675675677,Java_low_results.csv
35,77,vehicle,low,low,326.0,0.8380462724935732,Java_low_results.csv
35,180,vehicle,low,low,219.0,0.8264150943396227,Java_low_results.csv
35,172,vehicle,low,low,226.0,0.8528301886792453,Java_low_results.csv
35,132,vehicle,low,low,263.0,0.8885135135135135,Java_low_results.csv
35,64,vehicle,low,low,511.0,0.8631756756756757,Java_low_results.csv
35,126,vehicle,low,low,287.0,0.8996865203761756,Java_low_results.csv
35,139,vehicle,low,low,207.0,0.7811320754716982,Java_low_results.csv
35,128,vehicle,low,low,426.0,0.8640973630831643,Java_low_results.csv
35,200,vehicle,low,low,225.0,0.8490566037735849,Java_low_results.csv
35,183,vehicle,low,low,251.0,0.8964285714285715,Java_low_results.csv
34,64,vehicle,low,low,518.0,0.875,Java_low_results.csv
37,65,vehicle,low,low,220.0,0.8527131782945736,Java_low_results.csv
35,60,vehicle,low,low,263.0,0.8594771241830066,Java_low_results.csv
37,43,vehicle,low,low,265.0,0.913793103448276,Java_low_results.csv
35,182,vehicle,low,low,351.0,0.8775,Java_low_results.csv
37,41,vehicle,low,low,290.0,0.8708708708708709,Java_low_results.csv
