exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Length,Direction,Position,Duration,source_file
42,30,2,medium,none,0.9899442989390428,0.7264385649792179,0.9881307035372828,0.931742590776158,0.7083333333333334,Java_medium_Java_none_results.csv
42,36,2,medium,none,0.9900506408225244,0.6902510697644002,0.9846314316978446,0.9085631725298942,0.75,Java_medium_Java_none_results.csv
42,38,2,medium,none,0.9902710815974332,0.7156115800734426,0.9859088631823552,0.8669497793621898,0.7171428571428571,Java_medium_Java_none_results.csv
42,59,2,medium,none,0.9882741516244636,0.6944806330072658,0.984326563662509,0.9306022529562056,0.6521739130434783,Java_medium_Java_none_results.csv
42,93,2,medium,none,0.9880594446381534,0.705141137993986,0.9802242296754918,0.8573418459667226,0.7391304347826088,Java_medium_Java_none_results.csv
42,96,2,medium,none,0.990601335071627,0.7426299067763359,0.986679219972658,0.8906015350757838,0.5833333333333333,Java_medium_Java_none_results.csv
42,106,2,medium,none,0.9908540843904022,0.7134018096907235,0.98677956706746,0.892888488625796,0.7609523809523808,Java_medium_Java_none_results.csv
42,110,2,medium,none,0.992456634348005,0.7200827332095483,0.989562225934546,0.9138787078753736,0.7,Java_medium_Java_none_results.csv
42,116,2,medium,none,0.9909797113350908,0.7549534829977524,0.989131395453458,0.9288047326169194,0.6214209968186638,Java_medium_Java_none_results.csv
42,141,2,medium,none,0.990400608060265,0.7515027059176613,0.9863030333976716,0.9305904436717576,0.5853658536585366,Java_medium_Java_none_results.csv
42,154,2,medium,none,0.9916063720953256,0.6523327872237754,0.9894596472339102,0.9085730770188076,0.75,Java_medium_Java_none_results.csv
42,163,2,medium,none,0.9887940707731412,0.7181327748695255,0.9859888648258598,0.9063825425777396,0.6425061425061426,Java_medium_Java_none_results.csv
42,181,2,medium,none,0.9907296698427857,0.7927449163748991,0.9865733879428455,0.9176439214513252,0.7083333333333334,Java_medium_Java_none_results.csv
42,189,2,medium,none,0.991054933569406,0.758058527740213,0.9869696865852504,0.9299258231061543,0.5697115384615384,Java_medium_Java_none_results.csv
42,196,2,medium,none,0.9884522736791942,0.678339215526675,0.9840984786598024,0.9031082318708752,0.7727272727272728,Java_medium_Java_none_results.csv
42,201,2,medium,none,0.9904202580961596,0.6762263883568997,0.9882370300296256,0.9227339303253452,0.7391304347826088,Java_medium_Java_none_results.csv
42,204,2,medium,none,0.9841558008962786,0.5972467358256537,0.9734887359427844,0.9067989562578224,0.8333333333333334,Java_medium_Java_none_results.csv
42,211,2,medium,none,0.9930117617537936,0.6925068699818688,0.992392570192835,0.9157171950354294,0.6767857142857143,Java_medium_Java_none_results.csv
42,216,2,medium,none,0.9880789648500166,0.7458676764586356,0.9846988733257483,0.9205471855179788,0.8076923076923078,Java_medium_Java_none_results.csv
50,3,2,medium,none,0.9915712730299924,0.7402052231092558,0.9878999484328864,0.9362545133768264,0.7727272727272728,Java_medium_Java_none_results.csv
50,5,2,medium,none,0.9902036593284956,0.691916391255549,0.9869734682322466,0.8651477232969271,0.7777777777777779,Java_medium_Java_none_results.csv
50,12,2,medium,none,0.99139615102785,0.7397788893663777,0.9890827586915772,0.9210646319445248,0.6486486486486487,Java_medium_Java_none_results.csv
50,28,2,medium,none,0.9910281319767744,0.7219209986581518,0.987327004735481,0.8576610994865008,0.633739837398374,Java_medium_Java_none_results.csv
50,30,2,medium,none,0.990714127989408,0.6900165478659144,0.9864257772057444,0.8496177064415815,0.6666666666666667,Java_medium_Java_none_results.csv
50,36,2,medium,none,0.9908571311831328,0.6587563144763079,0.9853792884808388,0.9052513730312552,0.7285012285012286,Java_medium_Java_none_results.csv
50,38,2,medium,none,0.991494846748473,0.7329122041590399,0.9886322769519016,0.933325006180734,0.736842105263158,Java_medium_Java_none_results.csv
50,59,2,medium,none,0.9893303337204034,0.7236225818752564,0.9853345413147172,0.908862645578842,0.6666666666666665,Java_medium_Java_none_results.csv
50,93,2,medium,none,0.9894774345843724,0.6125973267925007,0.9823856029813356,0.8899443563338247,0.8095238095238095,Java_medium_Java_none_results.csv
50,96,2,medium,none,0.9912794809287644,0.7193226143711495,0.9888151127546418,0.8851879342485658,0.5999999999999999,Java_medium_Java_none_results.csv
50,106,2,medium,none,0.9895201013520843,0.6860198786954766,0.9870909656525748,0.8894233330473946,0.7916666666666666,Java_medium_Java_none_results.csv
50,110,2,medium,none,0.9908913113232902,0.6736308545948706,0.9871733617901068,0.8708466077103335,0.7619047619047619,Java_medium_Java_none_results.csv
50,116,2,medium,none,0.9909490926893274,0.7341196594196635,0.988001836243194,0.8873359377480939,0.625,Java_medium_Java_none_results.csv
50,141,2,medium,none,0.990620354596599,0.7193709577088072,0.9875573216308422,0.91205598472369,0.606060606060606,Java_medium_Java_none_results.csv
50,154,2,medium,none,0.9918514345392136,0.7181737212947967,0.9900981234574308,0.9243107139968892,0.75,Java_medium_Java_none_results.csv
50,163,2,medium,none,0.9899316623679812,0.7133200503677013,0.9862740827086672,0.9074710035711347,0.6545092838196287,Java_medium_Java_none_results.csv
50,181,2,medium,none,0.9909859639626548,0.6379348745361793,0.986095930411232,0.8696502518863284,0.7000000000000001,Java_medium_Java_none_results.csv
50,189,2,medium,none,0.9903792621067072,0.6435884657617981,0.9847196993705476,0.9162792803763168,0.6818181818181819,Java_medium_Java_none_results.csv
50,196,2,medium,none,0.9889615912403972,0.7124299957803761,0.9869970240746372,0.90857410409005,0.7586206896551724,Java_medium_Java_none_results.csv
50,201,2,medium,none,0.9902042931742328,0.6491308442621501,0.9852412520393308,0.9408365981440004,0.7619047619047619,Java_medium_Java_none_results.csv
50,204,2,medium,none,0.988137474599696,0.5057406177488648,0.98122741235971,0.8299394674692476,0.8,Java_medium_Java_none_results.csv
50,211,2,medium,none,0.9922820380945128,0.7403736027035107,0.99061888287634,0.8747972366205448,0.6363636363636365,Java_medium_Java_none_results.csv
50,216,2,medium,none,0.9894727029440872,0.6672153065768729,0.9841114862207928,0.9198576534646176,0.7999999999999999,Java_medium_Java_none_results.csv
51,3,2,medium,none,0.9944115919513732,0.6535889311207888,0.9939689734989406,0.9519396175378768,0.6399999999999999,Java_medium_Java_none_results.csv
51,5,2,medium,none,0.9931660929006352,0.6639680331744011,0.9917228805907742,0.8669297618514316,0.6521739130434783,Java_medium_Java_none_results.csv
51,12,2,medium,none,0.991059642192167,0.6750182988648097,0.98662807066407,0.9359794456727836,0.5741758241758241,Java_medium_Java_none_results.csv
