"random_effect","experiment","dimension","AIC","BIC"
"none","within_stimulus_within_vehicle","Position",-13212.691345057,-13182.6645097204
"none","within_stimulus_within_vehicle","Duration",-8440.48310766047,-8410.45627232389
"none","within_stimulus_between_rectangle","Shape",-52739.6253820058,-52713.2221869047
"none","within_stimulus_between_rectangle","Length",-47373.2977020384,-47346.8945069374
"none","within_stimulus_between_rectangle","Direction",-17688.1288257791,-17661.725630678
"none","within_stimulus_between_rectangle","Position",-24635.9385725603,-24609.5353774592
"none","within_stimulus_between_rectangle","Duration",-16299.0923599558,-16272.6891648547
"none","within_stimulus_between_vehicle","Shape",-60963.1633672826,-60936.2451318044
"none","within_stimulus_between_vehicle","Length",-54763.4245250984,-54736.5062896201
"none","within_stimulus_between_vehicle","Direction",-19391.5362602234,-19364.6180247452
"none","within_stimulus_between_vehicle","Position",-26609.3895458317,-26582.4713103534
"none","within_stimulus_between_vehicle","Duration",-18029.4892229011,-18002.5709874229
"none","within_group","Shape",-57492.4780667378,-57432.4612072426
"none","within_group","Length",-51433.4828498057,-51373.4659903105
"none","within_group","Direction",-19000.8656631984,-18940.8488037032
"none","within_group","Position",-26644.5059182479,-26584.4890587528
"none","within_group","Duration",-16761.2012688977,-16701.1844094025
"none","between_group_mean_diff","Shape",-113673.084688727,-113636.282703886
"none","between_group_mean_diff","Length",-102096.120977465,-102059.318992624
"none","between_group_mean_diff","Direction",-37057.6521274234,-37020.8501425825
"none","between_group_mean_diff","Position",-50954.3066791669,-50917.504694326
"none","between_group_mean_diff","Duration",-34254.0817623995,-34217.2797775586
"none","between_group_pairtype","Shape",-113684.444993859,-113632.922215082
"none","between_group_pairtype","Length",-102117.523815692,-102066.001036915
"none","between_group_pairtype","Direction",-37060.9030426706,-37009.3802638933
"none","between_group_pairtype","Position",-50960.356868598,-50908.8340898208
"none","between_group_pairtype","Duration",-34257.7148389939,-34206.1920602167
