exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration,source_file
48,94,5,high,low,0.114789512034692,-0.0917933981524217,0.0991831517605092,0.1392212379098945,-0.2153273333596763,0.8772323008480353,0.7937944480609143,0.8906209999747947,0.7698392575673971,0.8153273333596762,Java_high_Java_low_results.csv
48,99,5,high,low,0.1217183302899372,-0.0450544847510498,0.1378934156695889,0.1779851243822638,-0.0840130876455804,0.8725419902719946,0.7295484942387322,0.8552725850991763,0.7289626508989209,0.8340130876455805,Java_high_Java_low_results.csv
48,101,5,high,low,0.1310520344088959,0.0312436348733639,0.1806379274437783,0.1493761557612777,-0.1522919381141985,0.8611063409086452,0.6411097574062145,0.8062059241994712,0.7453196506600474,0.847944112027242,Java_high_Java_low_results.csv
48,104,5,high,low,0.1114631687196254,-0.0530952503700501,0.1044572050928956,0.1472354319826583,-0.0684604301950332,0.8786298248655926,0.7676076120880246,0.882029124710363,0.754488322930261,0.8462382079728111,Java_high_Java_low_results.csv
48,114,5,high,low,0.1314364734415981,-0.0183260815989345,0.1275879045151295,0.1639856435269377,-0.1564764893508631,0.8611558489974115,0.7859173052899486,0.8637679660825497,0.7706626929290314,0.8231431560175297,Java_high_Java_low_results.csv
48,124,5,high,low,0.1107119352084156,-0.0869953078519399,0.1151049407156545,0.1818818377457659,-0.0608514979165971,0.8820932722403688,0.8011627532878794,0.8758480430239695,0.7695926554052736,0.8361040231691225,Java_high_Java_low_results.csv
48,126,5,high,low,0.1184838927210217,-0.0842022232842985,0.1198797268263629,0.1729818780191634,-0.1447514064468175,0.8742274928663811,0.7744660679994737,0.8708811725106853,0.7347030543296407,0.8370590987545098,Java_high_Java_low_results.csv
48,128,5,high,low,0.1218523555756592,-0.0263299665067817,0.1569400224724705,0.161344496973871,-0.1429913097690798,0.8700143163091199,0.704729882942188,0.8300841427864576,0.7470698106164673,0.8386434836821233,Java_high_Java_low_results.csv
48,132,5,high,low,0.1161153723589718,-0.0364568848020877,0.1318001295702235,0.1877098686129975,-0.067297613983301,0.8770111340470916,0.753910490733502,0.8590167200050631,0.7406982647671988,0.8292023758880629,Java_high_Java_low_results.csv
48,139,5,high,low,0.1182654766462369,-0.0773555429045218,0.114619025163821,0.1160831637022841,-0.2793500443906302,0.8741672148832486,0.8195693083603415,0.8748223931087361,0.8008347437618165,0.8349055999461859,Java_high_Java_low_results.csv
48,140,5,high,low,0.1100410214049535,-0.0600228938114354,0.1142741765516448,0.1645251088192975,-0.1381785196151117,0.8823617377614137,0.8405890596629022,0.8769996475732612,0.7741821576932698,0.8596224851323531,Java_high_Java_low_results.csv
