exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
147,166,vehicle,medium,medium,0.9890026806823236,0.7414142586886368,0.986196862489514,0.8973632242541157,0.7777777777777779,Java_medium_results.csv
145,171,vehicle,medium,medium,0.9928469810345696,0.7194918373363519,0.9895493526215172,0.904856645809734,0.5517241379310345,Java_medium_results.csv
147,169,vehicle,medium,medium,0.9889946831970096,0.7405094193910795,0.9856382649860584,0.9461152506856862,0.7037037037037037,Java_medium_results.csv
145,206,vehicle,medium,medium,0.9939876582548072,0.7363027171859484,0.9927675211859583,0.9376142698742508,0.7113095238095237,Java_medium_results.csv
147,192,vehicle,medium,medium,0.989760904600481,0.767167715809374,0.9858136587377666,0.9388591768549216,0.52859477124183,Java_medium_results.csv
147,171,vehicle,medium,medium,0.9916568852986996,0.7360152036516197,0.9873624114474214,0.9237912099160904,0.5277777777777778,Java_medium_results.csv
147,203,vehicle,medium,medium,0.9903665552665418,0.659377090312368,0.9870285138350198,0.8796417829855593,0.8076923076923078,Java_medium_results.csv
145,197,vehicle,medium,medium,0.9909203590423802,0.7193732452209776,0.9889257852325558,0.9123292601640408,0.6585365853658536,Java_medium_results.csv
147,191,vehicle,medium,medium,0.9907001156187708,0.7618397323045303,0.9881078896403038,0.93531259358402,0.6818181818181819,Java_medium_results.csv
133,151,vehicle,medium,medium,0.9944122542944298,0.6911332372779109,0.9930172511941416,0.9063634984776696,0.7,Java_medium_results.csv
147,210,vehicle,medium,medium,0.991295780952708,0.7542492943187775,0.9867042376107584,0.958323508896638,0.75,Java_medium_results.csv
147,190,vehicle,medium,medium,0.9919185765032814,0.723525156129242,0.9889049708931986,0.9338757342771656,0.6086956521739131,Java_medium_results.csv
147,197,vehicle,medium,medium,0.9898171567570608,0.7270485486899179,0.987221125241415,0.9378111478032076,0.625,Java_medium_results.csv
147,168,vehicle,medium,medium,0.9912760491794996,0.7442449108794094,0.9866612413446436,0.9150300382431966,0.7290209790209791,Java_medium_results.csv
147,215,vehicle,medium,medium,0.99190919323121,0.6831500351737281,0.9883259018146472,0.8980835621949389,0.72,Java_medium_results.csv
147,207,vehicle,medium,medium,0.992771861325514,0.757428904900917,0.9911877897061926,0.93136496194421,0.6451612903225807,Java_medium_results.csv
147,206,vehicle,medium,medium,0.9929279144278942,0.714931912164991,0.9907139063417268,0.9331824693537468,0.7307692307692308,Java_medium_results.csv
147,158,vehicle,medium,medium,0.9918851580885062,0.7405874585181482,0.989450667532764,0.9481265141510457,0.5714285714285714,Java_medium_results.csv
145,202,vehicle,medium,medium,0.988539312284184,0.7199525279573415,0.9819103687854666,0.8790669487140893,0.6363636363636364,Java_medium_results.csv
143,151,vehicle,medium,medium,0.9944114825994158,0.6232572188964125,0.9925097342148418,0.9063933542534895,0.5217391304347827,Java_medium_results.csv
