exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration
6,11,Intermediate,Intermediate,r1,r2,0.9864627303234815,0.8671542782778081,0.9836607644874412,0.9355198027912774,0.64321608040201
6,12,Intermediate,Intermediate,r1,r2,0.9854074577419399,0.8461974085865329,0.9839879066801736,0.859849671332347,0.6810035842293907
10,11,Intermediate,Intermediate,r1,r3,0.9883832349453631,0.8772206609110618,0.9871252395281578,0.8474421347111114,0.7116535964246563
10,12,Intermediate,Intermediate,r1,r3,0.9887190231598298,0.8979754887725441,0.9868088505069734,0.9027551299816041,0.7104474222121282
10,6,Intermediate,Intermediate,r1,r3,0.9857146138297554,0.8800626567935953,0.9824585450743437,0.8338971889338929,0.7310924369747899
11,10,Intermediate,Intermediate,r1,r3,0.9841835225449644,0.8703406609241965,0.9813072889079937,0.9231520749928669,0.7407711415919646
11,12,Intermediate,Intermediate,r1,r3,0.9853202822986925,0.7841656334764477,0.9822657908312815,0.8610451309050935,0.6925945945945946
11,6,Intermediate,Intermediate,r1,r3,0.9834416044474886,0.8673913828324546,0.9811164970843729,0.8656199599096547,0.6520737327188939
12,10,Intermediate,Intermediate,r1,r3,0.9862739554932901,0.9000602328833801,0.9846703343325106,0.9070448662454904,0.6790123456790123
12,11,Intermediate,Intermediate,r1,r3,0.9886486964202043,0.9070228200490347,0.9869250562624097,0.8737432546890977,0.7191011235955056
12,6,Intermediate,Intermediate,r1,r3,0.9865569275983724,0.8820606995612581,0.9860629915069381,0.877814951752153,0.7008928571428572
6,10,Intermediate,Intermediate,r1,r3,0.9853899473204181,0.8685729084799338,0.9832066334112421,0.901886319135897,0.6357766186869953
6,11,Intermediate,Intermediate,r1,r3,0.9860200946415407,0.8246198830473067,0.983208085889113,0.9054541124371649,0.6539682539682539
6,12,Intermediate,Intermediate,r1,r3,0.9872142616182544,0.8533453610813182,0.9822127391230965,0.8956355514456722,0.6666666666666666
10,11,Intermediate,Intermediate,r2,r2,0.9919064836204708,0.9157428510938845,0.9902213087192447,0.9298751956442439,0.778652668416448
10,12,Intermediate,Intermediate,r2,r2,0.9901751240072785,0.9349107957157737,0.9878434836566937,0.9461767974415058,0.7523482245131731
10,6,Intermediate,Intermediate,r2,r2,0.9869488083283907,0.8861532320165215,0.9840475953804236,0.8619892906370693,0.7053221288515407
11,10,Intermediate,Intermediate,r2,r2,0.9919064836204708,0.9157428510938845,0.9902213087192447,0.9298751956442439,0.778652668416448
11,12,Intermediate,Intermediate,r2,r2,0.9891190388519716,0.9117518854729157,0.9891824367139428,0.9552735793903367,0.752851711026616
