"random_effect","experiment","dimension","AIC","BIC"
"exp_b","fix_rendering_pairtype","Length",-7350.61953264144,-7326.57433611122
"exp_b","fix_rendering_pairtype","Direction",-2429.53194677658,-2405.48675024637
"exp_b","fix_rendering_pairtype","Position",-3548.08932386534,-3524.04412733512
"exp_b","fix_rendering_pairtype","Duration",-3296.26701070823,-3272.22181417801
"both","fix_expertise","Shape",-12844.3716205961,-12797.2640259783
"both","fix_expertise","Length",-12051.4061494034,-12004.2985547857
"both","fix_expertise","Direction",-4633.91906747068,-4586.81147285293
"both","fix_expertise","Position",-5556.16850841662,-5509.06091379888
"both","fix_expertise","Duration",-5374.38906930267,-5327.28147468492
"both","fix_expertise_rendering","Shape",-3953.17845798345,-3916.50034370366
"both","fix_expertise_rendering","Length",-3712.76900898178,-3676.09089470199
"both","fix_expertise_rendering","Direction",-1413.33193364272,-1376.65381936292
"both","fix_expertise_rendering","Position",-1715.35468471229,-1678.67657043249
"both","fix_expertise_rendering","Duration",-1658.0958555238,-1621.417741244
"both","fix_rendering_mean_diff","Shape",-7873.32063347335,-7844.46639763709
"both","fix_rendering_mean_diff","Length",-7397.13924348589,-7368.28500764963
"both","fix_rendering_mean_diff","Direction",-2484.68216289063,-2455.82792705438
"both","fix_rendering_mean_diff","Position",-3551.61894474544,-3522.76470890918
"both","fix_rendering_mean_diff","Duration",-3407.10535479961,-3378.25111896335
"both","fix_rendering_pairtype","Shape",-7873.32063347335,-7844.46639763709
"both","fix_rendering_pairtype","Length",-7397.13924348589,-7368.28500764963
"both","fix_rendering_pairtype","Direction",-2484.68216289064,-2455.82792705438
"both","fix_rendering_pairtype","Position",-3551.61894474543,-3522.76470890918
"both","fix_rendering_pairtype","Duration",-3407.10535479961,-3378.25111896335
"none","fix_expertise","Shape",-12330.7006265477,-12294.0613862895
"none","fix_expertise","Length",-11545.7719666426,-11509.1327263843
"none","fix_expertise","Direction",-4096.36581482042,-4059.72657456217
"none","fix_expertise","Position",-5382.55229128083,-5345.91305102258
"none","fix_expertise","Duration",-5070.60683091312,-5033.96759065487
"none","fix_expertise_rendering","Shape",-3909.21554695049,-3880.68812473287
"none","fix_expertise_rendering","Length",-3657.10388442221,-3628.57646220459
"none","fix_expertise_rendering","Direction",-1370.72344478784,-1342.19602257022
"none","fix_expertise_rendering","Position",-1702.80788963952,-1674.2804674219
"none","fix_expertise_rendering","Duration",-1609.14216721954,-1580.61474500192
"none","fix_rendering_mean_diff","Shape",-7793.28146744077,-7774.0453102166
"none","fix_rendering_mean_diff","Length",-7305.23591816472,-7285.99976094054
"none","fix_rendering_mean_diff","Direction",-2386.12343499499,-2366.88727777082
"none","fix_rendering_mean_diff","Position",-3521.3859157464,-3502.14975852223
"none","fix_rendering_mean_diff","Duration",-3251.56971082083,-3232.33355359666
"none","fix_rendering_pairtype","Shape",-7793.28146744077,-7774.0453102166
"none","fix_rendering_pairtype","Length",-7305.23591816472,-7285.99976094054
"none","fix_rendering_pairtype","Direction",-2386.12343499499,-2366.88727777082
"none","fix_rendering_pairtype","Position",-3521.3859157464,-3502.14975852223
"none","fix_rendering_pairtype","Duration",-3251.56971082083,-3232.33355359666
