exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
86,206,rectangle,high,medium,0.9929307292604308,0.7008308508061444,0.9903304492293082,0.8999124250867608,0.6129032258064516,Java_high_Java_medium_results.csv
87,55,rectangle,high,medium,0.992353483039942,0.757270336996946,0.9882137085503604,0.9383200010187454,0.6229508196721312,Java_high_Java_medium_results.csv
87,125,rectangle,high,medium,0.988240828924406,0.6598102609592338,0.984959314014138,0.8902368430430982,0.6348484848484849,Java_high_Java_medium_results.csv
87,112,rectangle,high,medium,0.9913627391369012,0.7394937948911722,0.9882775771253712,0.9008919379107696,0.637330754352031,Java_high_Java_medium_results.csv
87,83,rectangle,high,medium,0.9914339439652232,0.7188153032341795,0.988842641777518,0.8877169946610435,0.6896551724137931,Java_high_Java_medium_results.csv
87,121,rectangle,high,medium,0.9928464242880656,0.6878551827101816,0.9912288228181368,0.9170339444069912,0.6809090909090909,Java_high_Java_medium_results.csv
87,145,rectangle,high,medium,0.9911858435095292,0.7097227441707532,0.9880447559527812,0.940052208004954,0.6414285714285713,Java_high_Java_medium_results.csv
87,117,rectangle,high,medium,0.990510053855226,0.7423144791068055,0.9869234584698516,0.8997992457487007,0.6333333333333333,Java_high_Java_medium_results.csv
87,120,rectangle,high,medium,0.9922545089133574,0.7181108107604575,0.9901771130361878,0.9059218177812164,0.708994708994709,Java_high_Java_medium_results.csv
87,155,rectangle,high,medium,0.9911518308072051,0.7268412862300643,0.9871355459888403,0.909873736992034,0.657142857142857,Java_high_Java_medium_results.csv
87,171,rectangle,high,medium,0.9916959575680024,0.7167888717640045,0.9879307552915002,0.95492375043688,0.5889894419306184,Java_high_Java_medium_results.csv
87,185,rectangle,high,medium,0.9918003722022222,0.6715053168221479,0.9887315179445584,0.957973780306977,0.625,Java_high_Java_medium_results.csv
87,203,rectangle,high,medium,0.9908782699216394,0.6219059811335004,0.9851403382297164,0.9101701820255372,0.7000000000000001,Java_high_Java_medium_results.csv
87,158,rectangle,high,medium,0.9916991173382752,0.7006612221448973,0.987478954755856,0.9283464447367208,0.6267857142857143,Java_high_Java_medium_results.csv
87,147,rectangle,high,medium,0.9929531399138762,0.7240871370715635,0.9920758700067672,0.926871468324845,0.6799999999999999,Java_high_Java_medium_results.csv
87,210,rectangle,high,medium,0.991730277644081,0.7252090125487358,0.9902531518491434,0.9576166604996516,0.6486486486486487,Java_high_Java_medium_results.csv
87,202,rectangle,high,medium,0.9915654004306932,0.729665877693721,0.988737158507153,0.9468429396488182,0.6346153846153847,Java_high_Java_medium_results.csv
87,169,rectangle,high,medium,0.9892404760717232,0.729452652001034,0.9846186471718036,0.915596388704045,0.6575187969924812,Java_high_Java_medium_results.csv
87,135,rectangle,high,medium,0.9900629416555684,0.6944573479760334,0.9862113774935845,0.9155978210198986,0.6578947368421053,Java_high_Java_medium_results.csv
87,212,rectangle,high,medium,0.9914303089824358,0.6950442902781153,0.9895697821020628,0.9208503943407468,0.6551724137931034,Java_high_Java_medium_results.csv
87,215,rectangle,high,medium,0.992253012904085,0.7262508206513276,0.9896637154077904,0.8899009173351818,0.6578947368421053,Java_high_Java_medium_results.csv
87,142,rectangle,high,medium,0.992647233410372,0.736958374788909,0.9905855981753914,0.9179395488961472,0.6590909090909092,Java_high_Java_medium_results.csv
