"random_effect","experiment","dimension","AIC","BIC"
"rand_both","within_trial_within_5","Direction",-12979.8156533325,-12939.0697671731
"rand_both","within_trial_within_5","Position",-11137.4641800132,-11096.7182938539
"rand_both","within_trial_within_5","Duration",-8227.53001375435,-8186.784127595
"rand_both","within_trial_between_2","Shape",-48233.8953308813,-48192.9499111772
"rand_both","within_trial_between_2","Length",-24865.5346641205,-24824.5892444164
"rand_both","within_trial_between_2","Direction",-35209.1961787599,-35168.2507590558
"rand_both","within_trial_between_2","Position",-29763.1732913979,-29722.2278716938
"rand_both","within_trial_between_2","Duration",-24640.169874175,-24599.224454471
"rand_both","within_trial_between_5","Shape",-34509.0765931631,-34470.1081347876
"rand_both","within_trial_between_5","Length",-17928.5338862119,-17889.5654278364
"rand_both","within_trial_between_5","Direction",-25344.3948695706,-25305.4264111951
"rand_both","within_trial_between_5","Position",-21724.9850769674,-21686.016618592
"rand_both","within_trial_between_5","Duration",-16985.585831174,-16946.6173727985
"rand_both","within_group","Shape",-40933.2146479346,-40859.8022429188
"rand_both","within_group","Length",-20876.2388783605,-20802.8264733448
"rand_both","within_group","Direction",-29875.0837441047,-29801.671339089
"rand_both","within_group","Position",-25785.6365018665,-25712.2240968508
"rand_both","within_group","Duration",-20079.573320921,-20006.1609159053
"rand_both","between_group","Shape",-82181.6686922767,-82130.1056645149
"rand_both","between_group","Length",-42136.7405065387,-42085.1774787769
"rand_both","between_group","Direction",-59359.6303136445,-59308.0672858827
"rand_both","between_group","Position",-50836.959015512,-50785.3959877502
"rand_both","between_group","Duration",-41045.2581884106,-40993.6951606488
"rand_none","within_trial_within_2","Shape",-23161.6403482717,-23131.0478229338
"rand_none","within_trial_within_2","Length",-11504.8973317467,-11474.3048064088
"rand_none","within_trial_within_2","Direction",-16687.9138077774,-16657.3212824394
"rand_none","within_trial_within_2","Position",-14452.4818833158,-14421.8893579779
"rand_none","within_trial_within_2","Duration",-9839.55155212982,-9808.95902679188
"rand_none","within_trial_within_5","Shape",-17144.7174578294,-17115.6132534299
"rand_none","within_trial_within_5","Length",-8761.10618963112,-8732.00198523159
"rand_none","within_trial_within_5","Direction",-12215.8405299792,-12186.7363255797
"rand_none","within_trial_within_5","Position",-10691.8265066658,-10662.7223022662
"rand_none","within_trial_within_5","Duration",-6833.40713011681,-6804.30292571727
"rand_none","within_trial_between_2","Shape",-46295.5394212679,-46268.2424747985
"rand_none","within_trial_between_2","Length",-23085.6203881032,-23058.3234416338
"rand_none","within_trial_between_2","Direction",-32642.8484141918,-32615.5514677224
"rand_none","within_trial_between_2","Position",-28387.3240005836,-28360.0270541143
"rand_none","within_trial_between_2","Duration",-20063.731632495,-20036.4346860257
"rand_none","within_trial_between_5","Shape",-33235.4453836556,-33209.4664114053
"rand_none","within_trial_between_5","Length",-16896.6733514468,-16870.6943791965
