exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
27,52,Beginner,Beginner,r2,r2,c3,c3,34.34990080626688,Beginner_r2_result.csv
28,33,Beginner,Beginner,r2,r2,c3,c3,34.47977812886151,Beginner_r2_result.csv
28,40,Beginner,Beginner,r2,r2,c3,c3,31.813784015849755,Beginner_r2_result.csv
28,41,Beginner,Beginner,r2,r2,c3,c3,38.287974734441335,Beginner_r2_result.csv
28,48,Beginner,Beginner,r2,r2,c3,c3,36.006973743458644,Beginner_r2_result.csv
28,52,Beginner,Beginner,r2,r2,c3,c3,31.00498315627546,Beginner_r2_result.csv
29,36,Beginner,Beginner,r2,r2,c2,c2,37.92919195264022,Beginner_r2_result.csv
29,46,Beginner,Beginner,r2,r2,c2,c2,43.3037103226344,Beginner_r2_result.csv
30,37,Beginner,Beginner,r2,r2,c1,c1,35.790734472548586,Beginner_r2_result.csv
30,38,Beginner,Beginner,r2,r2,c1,c1,32.20639202903316,Beginner_r2_result.csv
30,39,Beginner,Beginner,r2,r2,c1,c1,40.667976258337255,Beginner_r2_result.csv
30,43,Beginner,Beginner,r2,r2,c1,c1,40.4066214966112,Beginner_r2_result.csv
30,47,Beginner,Beginner,r2,r2,c1,c1,36.28042432626098,Beginner_r2_result.csv
30,50,Beginner,Beginner,r2,r2,c1,c1,37.69391971631268,Beginner_r2_result.csv
30,9,Beginner,Beginner,r2,r2,c1,c1,39.95136287097406,Beginner_r2_result.csv
33,40,Beginner,Beginner,r2,r2,c3,c3,36.45429063487135,Beginner_r2_result.csv
33,41,Beginner,Beginner,r2,r2,c3,c3,42.59588272164887,Beginner_r2_result.csv
33,48,Beginner,Beginner,r2,r2,c3,c3,41.89928098305169,Beginner_r2_result.csv
33,52,Beginner,Beginner,r2,r2,c3,c3,33.67853569355397,Beginner_r2_result.csv
36,46,Beginner,Beginner,r2,r2,c2,c2,34.98977556186429,Beginner_r2_result.csv
37,38,Beginner,Beginner,r2,r2,c1,c1,29.73327724247326,Beginner_r2_result.csv
37,39,Beginner,Beginner,r2,r2,c1,c1,34.5052851088358,Beginner_r2_result.csv
37,43,Beginner,Beginner,r2,r2,c1,c1,38.05588154469329,Beginner_r2_result.csv
37,47,Beginner,Beginner,r2,r2,c1,c1,35.58543948074326,Beginner_r2_result.csv
37,50,Beginner,Beginner,r2,r2,c1,c1,36.07154397911727,Beginner_r2_result.csv
37,9,Beginner,Beginner,r2,r2,c1,c1,36.95207515056018,Beginner_r2_result.csv
38,39,Beginner,Beginner,r2,r2,c1,c1,34.796000056598345,Beginner_r2_result.csv
38,43,Beginner,Beginner,r2,r2,c1,c1,32.63515880635755,Beginner_r2_result.csv
38,47,Beginner,Beginner,r2,r2,c1,c1,33.10881575286093,Beginner_r2_result.csv
38,50,Beginner,Beginner,r2,r2,c1,c1,34.81229697785281,Beginner_r2_result.csv
38,9,Beginner,Beginner,r2,r2,c1,c1,33.10977597972177,Beginner_r2_result.csv
39,43,Beginner,Beginner,r2,r2,c1,c1,40.23209869818418,Beginner_r2_result.csv
39,47,Beginner,Beginner,r2,r2,c1,c1,40.20212913003908,Beginner_r2_result.csv
39,50,Beginner,Beginner,r2,r2,c1,c1,41.37679064242853,Beginner_r2_result.csv
39,9,Beginner,Beginner,r2,r2,c1,c1,40.158673025566216,Beginner_r2_result.csv
40,41,Beginner,Beginner,r2,r2,c3,c3,42.1342684018822,Beginner_r2_result.csv
40,48,Beginner,Beginner,r2,r2,c3,c3,38.86186976972528,Beginner_r2_result.csv
40,52,Beginner,Beginner,r2,r2,c3,c3,34.576912725278824,Beginner_r2_result.csv
41,48,Beginner,Beginner,r2,r2,c3,c3,46.63555336084852,Beginner_r2_result.csv
41,52,Beginner,Beginner,r2,r2,c3,c3,37.54071300910128,Beginner_r2_result.csv
43,47,Beginner,Beginner,r2,r2,c1,c1,39.64677767005513,Beginner_r2_result.csv
43,50,Beginner,Beginner,r2,r2,c1,c1,41.92806533072525,Beginner_r2_result.csv
43,9,Beginner,Beginner,r2,r2,c1,c1,40.69809500462888,Beginner_r2_result.csv
47,50,Beginner,Beginner,r2,r2,c1,c1,38.73480622520187,Beginner_r2_result.csv
47,9,Beginner,Beginner,r2,r2,c1,c1,41.319358966980126,Beginner_r2_result.csv
48,52,Beginner,Beginner,r2,r2,c3,c3,38.35884043174432,Beginner_r2_result.csv
50,9,Beginner,Beginner,r2,r2,c1,c1,41.97129275688846,Beginner_r2_result.csv
16,36,Beginner,Beginner,r3,r3,c3,c3,23.97845534186483,Beginner_r3_result.csv
16,37,Beginner,Beginner,r3,r3,c3,c3,27.349192972432046,Beginner_r3_result.csv
16,38,Beginner,Beginner,r3,r3,c3,c3,22.906340564167955,Beginner_r3_result.csv
16,43,Beginner,Beginner,r3,r3,c3,c3,31.712222464313925,Beginner_r3_result.csv
16,47,Beginner,Beginner,r3,r3,c3,c3,32.20511720044381,Beginner_r3_result.csv
16,50,Beginner,Beginner,r3,r3,c3,c3,31.254020716090015,Beginner_r3_result.csv
24,27,Beginner,Beginner,r3,r3,c2,c2,39.3899384575079,Beginner_r3_result.csv
24,30,Beginner,Beginner,r3,r3,c2,c2,37.581653349981934,Beginner_r3_result.csv
24,33,Beginner,Beginner,r3,r3,c2,c2,41.12002957327997,Beginner_r3_result.csv
24,39,Beginner,Beginner,r3,r3,c2,c2,40.09697836361903,Beginner_r3_result.csv
24,40,Beginner,Beginner,r3,r3,c2,c2,40.48317780766116,Beginner_r3_result.csv
24,9,Beginner,Beginner,r3,r3,c2,c2,41.80107057927679,Beginner_r3_result.csv
25,26,Beginner,Beginner,r3,r3,c1,c1,44.09786381105928,Beginner_r3_result.csv
25,28,Beginner,Beginner,r3,r3,c1,c1,42.56385415232285,Beginner_r3_result.csv
25,29,Beginner,Beginner,r3,r3,c1,c1,42.36664207618323,Beginner_r3_result.csv
25,41,Beginner,Beginner,r3,r3,c1,c1,46.970543181365,Beginner_r3_result.csv
25,46,Beginner,Beginner,r3,r3,c1,c1,48.279073137179886,Beginner_r3_result.csv
25,48,Beginner,Beginner,r3,r3,c1,c1,43.10826179262706,Beginner_r3_result.csv
25,52,Beginner,Beginner,r3,r3,c1,c1,42.63148681066537,Beginner_r3_result.csv
26,28,Beginner,Beginner,r3,r3,c1,c1,43.94414602885684,Beginner_r3_result.csv
26,29,Beginner,Beginner,r3,r3,c1,c1,41.7080482904959,Beginner_r3_result.csv
26,41,Beginner,Beginner,r3,r3,c1,c1,47.68911565950616,Beginner_r3_result.csv
26,46,Beginner,Beginner,r3,r3,c1,c1,46.549878393987136,Beginner_r3_result.csv
26,48,Beginner,Beginner,r3,r3,c1,c1,42.50935442018462,Beginner_r3_result.csv
26,52,Beginner,Beginner,r3,r3,c1,c1,49.19431841785103,Beginner_r3_result.csv
27,30,Beginner,Beginner,r3,r3,c2,c2,36.84349468119096,Beginner_r3_result.csv
27,33,Beginner,Beginner,r3,r3,c2,c2,37.45835540158487,Beginner_r3_result.csv
27,39,Beginner,Beginner,r3,r3,c2,c2,36.81624685350564,Beginner_r3_result.csv
27,40,Beginner,Beginner,r3,r3,c2,c2,37.54065559793869,Beginner_r3_result.csv
27,9,Beginner,Beginner,r3,r3,c2,c2,38.59166024924488,Beginner_r3_result.csv
28,29,Beginner,Beginner,r3,r3,c1,c1,38.89661532103354,Beginner_r3_result.csv
28,41,Beginner,Beginner,r3,r3,c1,c1,43.25357431849796,Beginner_r3_result.csv
28,46,Beginner,Beginner,r3,r3,c1,c1,43.44448912301712,Beginner_r3_result.csv
28,48,Beginner,Beginner,r3,r3,c1,c1,40.00384971897243,Beginner_r3_result.csv
28,52,Beginner,Beginner,r3,r3,c1,c1,42.456306281484586,Beginner_r3_result.csv
29,41,Beginner,Beginner,r3,r3,c1,c1,43.68184861360826,Beginner_r3_result.csv
29,46,Beginner,Beginner,r3,r3,c1,c1,39.83340272952083,Beginner_r3_result.csv
29,48,Beginner,Beginner,r3,r3,c1,c1,40.50037183526893,Beginner_r3_result.csv
29,52,Beginner,Beginner,r3,r3,c1,c1,44.13602578172899,Beginner_r3_result.csv
30,33,Beginner,Beginner,r3,r3,c2,c2,34.45773450520954,Beginner_r3_result.csv
30,39,Beginner,Beginner,r3,r3,c2,c2,35.79242587589844,Beginner_r3_result.csv
30,40,Beginner,Beginner,r3,r3,c2,c2,36.30595840679905,Beginner_r3_result.csv
30,9,Beginner,Beginner,r3,r3,c2,c2,38.38483551584733,Beginner_r3_result.csv
33,39,Beginner,Beginner,r3,r3,c2,c2,37.50912166409272,Beginner_r3_result.csv
33,40,Beginner,Beginner,r3,r3,c2,c2,34.74468734845626,Beginner_r3_result.csv
33,9,Beginner,Beginner,r3,r3,c2,c2,41.79001457089472,Beginner_r3_result.csv
36,37,Beginner,Beginner,r3,r3,c3,c3,31.59380063053523,Beginner_r3_result.csv
36,38,Beginner,Beginner,r3,r3,c3,c3,29.142561103238563,Beginner_r3_result.csv
36,43,Beginner,Beginner,r3,r3,c3,c3,36.18592974084669,Beginner_r3_result.csv
36,47,Beginner,Beginner,r3,r3,c3,c3,38.00076829733957,Beginner_r3_result.csv
36,50,Beginner,Beginner,r3,r3,c3,c3,37.6612804844662,Beginner_r3_result.csv
37,38,Beginner,Beginner,r3,r3,c3,c3,30.59747752889027,Beginner_r3_result.csv
37,43,Beginner,Beginner,r3,r3,c3,c3,35.75470229182231,Beginner_r3_result.csv
37,47,Beginner,Beginner,r3,r3,c3,c3,39.72194489987618,Beginner_r3_result.csv
37,50,Beginner,Beginner,r3,r3,c3,c3,37.616780385761245,Beginner_r3_result.csv
38,43,Beginner,Beginner,r3,r3,c3,c3,33.415788844250635,Beginner_r3_result.csv
38,47,Beginner,Beginner,r3,r3,c3,c3,34.43354167940956,Beginner_r3_result.csv
38,50,Beginner,Beginner,r3,r3,c3,c3,34.97194709411955,Beginner_r3_result.csv
39,40,Beginner,Beginner,r3,r3,c2,c2,37.2925286933022,Beginner_r3_result.csv
39,9,Beginner,Beginner,r3,r3,c2,c2,39.202241348309,Beginner_r3_result.csv
40,9,Beginner,Beginner,r3,r3,c2,c2,41.15777028049333,Beginner_r3_result.csv
41,46,Beginner,Beginner,r3,r3,c1,c1,45.76699120635672,Beginner_r3_result.csv
41,48,Beginner,Beginner,r3,r3,c1,c1,45.79954763658279,Beginner_r3_result.csv
41,52,Beginner,Beginner,r3,r3,c1,c1,45.28597381870944,Beginner_r3_result.csv
43,47,Beginner,Beginner,r3,r3,c3,c3,43.61481836926889,Beginner_r3_result.csv
43,50,Beginner,Beginner,r3,r3,c3,c3,41.68637695473989,Beginner_r3_result.csv
46,48,Beginner,Beginner,r3,r3,c1,c1,43.666376788305776,Beginner_r3_result.csv
46,52,Beginner,Beginner,r3,r3,c1,c1,47.63392868868864,Beginner_r3_result.csv
47,50,Beginner,Beginner,r3,r3,c3,c3,42.88724453288733,Beginner_r3_result.csv
48,52,Beginner,Beginner,r3,r3,c1,c1,44.609361281452365,Beginner_r3_result.csv
10,18,Intermediate,Intermediate,r1,r1,c1,c1,44.92102040494063,Intermediate_r1_result.csv
10,31,Intermediate,Intermediate,r1,r1,c1,c1,45.33423282980418,Intermediate_r1_result.csv
10,32,Intermediate,Intermediate,r1,r1,c1,c1,46.37973411694367,Intermediate_r1_result.csv
10,35,Intermediate,Intermediate,r1,r1,c1,c1,46.96278023962783,Intermediate_r1_result.csv
10,51,Intermediate,Intermediate,r1,r1,c1,c1,42.376746626635736,Intermediate_r1_result.csv
10,53,Intermediate,Intermediate,r1,r1,c1,c1,42.17672421186228,Intermediate_r1_result.csv
11,15,Intermediate,Intermediate,r1,r1,c3,c3,30.47533605352197,Intermediate_r1_result.csv
11,19,Intermediate,Intermediate,r1,r1,c3,c3,30.951275452168225,Intermediate_r1_result.csv
11,20,Intermediate,Intermediate,r1,r1,c3,c3,38.27162552200912,Intermediate_r1_result.csv
11,21,Intermediate,Intermediate,r1,r1,c3,c3,34.77490513843679,Intermediate_r1_result.csv
11,22,Intermediate,Intermediate,r1,r1,c3,c3,40.608307970504086,Intermediate_r1_result.csv
11,23,Intermediate,Intermediate,r1,r1,c3,c3,39.9569403212663,Intermediate_r1_result.csv
11,44,Intermediate,Intermediate,r1,r1,c3,c3,41.5198066028526,Intermediate_r1_result.csv
11,45,Intermediate,Intermediate,r1,r1,c3,c3,42.079348311878064,Intermediate_r1_result.csv
12,13,Intermediate,Intermediate,r1,r1,c2,c2,34.77312147130601,Intermediate_r1_result.csv
12,14,Intermediate,Intermediate,r1,r1,c2,c2,39.56765510622677,Intermediate_r1_result.csv
12,17,Intermediate,Intermediate,r1,r1,c2,c2,33.283271070530446,Intermediate_r1_result.csv
12,34,Intermediate,Intermediate,r1,r1,c2,c2,43.162737383210825,Intermediate_r1_result.csv
12,42,Intermediate,Intermediate,r1,r1,c2,c2,45.306615864184096,Intermediate_r1_result.csv
13,14,Intermediate,Intermediate,r1,r1,c2,c2,31.66495939229181,Intermediate_r1_result.csv
13,17,Intermediate,Intermediate,r1,r1,c2,c2,22.254753397417787,Intermediate_r1_result.csv
13,34,Intermediate,Intermediate,r1,r1,c2,c2,32.41050243839688,Intermediate_r1_result.csv
13,42,Intermediate,Intermediate,r1,r1,c2,c2,39.19413138124054,Intermediate_r1_result.csv
14,17,Intermediate,Intermediate,r1,r1,c2,c2,30.76811946266292,Intermediate_r1_result.csv
14,34,Intermediate,Intermediate,r1,r1,c2,c2,39.20957207626083,Intermediate_r1_result.csv
14,42,Intermediate,Intermediate,r1,r1,c2,c2,41.43094135942052,Intermediate_r1_result.csv
15,19,Intermediate,Intermediate,r1,r1,c3,c3,21.306671456587736,Intermediate_r1_result.csv
15,20,Intermediate,Intermediate,r1,r1,c3,c3,28.976419815648825,Intermediate_r1_result.csv
15,21,Intermediate,Intermediate,r1,r1,c3,c3,23.357623024103027,Intermediate_r1_result.csv
15,22,Intermediate,Intermediate,r1,r1,c3,c3,30.63141813940933,Intermediate_r1_result.csv
15,23,Intermediate,Intermediate,r1,r1,c3,c3,32.19546496011381,Intermediate_r1_result.csv
15,44,Intermediate,Intermediate,r1,r1,c3,c3,33.610316683779054,Intermediate_r1_result.csv
15,45,Intermediate,Intermediate,r1,r1,c3,c3,35.0030829939547,Intermediate_r1_result.csv
17,34,Intermediate,Intermediate,r1,r1,c2,c2,32.65055107467885,Intermediate_r1_result.csv
17,42,Intermediate,Intermediate,r1,r1,c2,c2,36.53613162105589,Intermediate_r1_result.csv
18,31,Intermediate,Intermediate,r1,r1,c1,c1,44.37842096467116,Intermediate_r1_result.csv
18,32,Intermediate,Intermediate,r1,r1,c1,c1,48.85733352635516,Intermediate_r1_result.csv
18,35,Intermediate,Intermediate,r1,r1,c1,c1,45.5574755715505,Intermediate_r1_result.csv
18,51,Intermediate,Intermediate,r1,r1,c1,c1,44.19024623414301,Intermediate_r1_result.csv
18,53,Intermediate,Intermediate,r1,r1,c1,c1,44.481517468937135,Intermediate_r1_result.csv
19,20,Intermediate,Intermediate,r1,r1,c3,c3,29.234556387539797,Intermediate_r1_result.csv
19,21,Intermediate,Intermediate,r1,r1,c3,c3,23.87131495100546,Intermediate_r1_result.csv
19,22,Intermediate,Intermediate,r1,r1,c3,c3,30.256315411391437,Intermediate_r1_result.csv
19,23,Intermediate,Intermediate,r1,r1,c3,c3,31.41210202337485,Intermediate_r1_result.csv
19,44,Intermediate,Intermediate,r1,r1,c3,c3,33.09655986272941,Intermediate_r1_result.csv
19,45,Intermediate,Intermediate,r1,r1,c3,c3,34.91663107941341,Intermediate_r1_result.csv
20,21,Intermediate,Intermediate,r1,r1,c3,c3,33.244278536621984,Intermediate_r1_result.csv
20,22,Intermediate,Intermediate,r1,r1,c3,c3,38.55842344792805,Intermediate_r1_result.csv
20,23,Intermediate,Intermediate,r1,r1,c3,c3,37.70497790867022,Intermediate_r1_result.csv
20,44,Intermediate,Intermediate,r1,r1,c3,c3,38.47667505767588,Intermediate_r1_result.csv
20,45,Intermediate,Intermediate,r1,r1,c3,c3,40.37996922307597,Intermediate_r1_result.csv
21,22,Intermediate,Intermediate,r1,r1,c3,c3,33.27090351255189,Intermediate_r1_result.csv
21,23,Intermediate,Intermediate,r1,r1,c3,c3,35.93878850005147,Intermediate_r1_result.csv
21,44,Intermediate,Intermediate,r1,r1,c3,c3,36.452023286954784,Intermediate_r1_result.csv
21,45,Intermediate,Intermediate,r1,r1,c3,c3,37.8992983489168,Intermediate_r1_result.csv
22,23,Intermediate,Intermediate,r1,r1,c3,c3,41.79540495841917,Intermediate_r1_result.csv
22,44,Intermediate,Intermediate,r1,r1,c3,c3,43.358885892768974,Intermediate_r1_result.csv
22,45,Intermediate,Intermediate,r1,r1,c3,c3,43.37325424949954,Intermediate_r1_result.csv
23,44,Intermediate,Intermediate,r1,r1,c3,c3,42.79121543336491,Intermediate_r1_result.csv
23,45,Intermediate,Intermediate,r1,r1,c3,c3,44.28938507631857,Intermediate_r1_result.csv
31,32,Intermediate,Intermediate,r1,r1,c1,c1,42.82500827767858,Intermediate_r1_result.csv
