exp_a,exp_b,trial_id,expertise_a,expertise_b,score
97,87,5,medium,high,49.30390503729555
97,178,5,medium,high,28.525585084198344
97,69,5,medium,high,52.22955278830613
97,86,5,medium,high,51.47513477707816
105,68,5,medium,high,26.098318092427085
105,80,5,medium,high,20.779424313814346
105,82,5,medium,high,36.31982571930535
105,118,5,medium,high,28.402474631052723
105,87,5,medium,high,43.52916965052267
105,178,5,medium,high,22.957499337826572
105,69,5,medium,high,49.91693401559458
108,48,5,medium,high,18.444240607281195
105,86,5,medium,high,49.15749445592673
108,68,5,medium,high,25.28443390710615
108,80,5,medium,high,17.60993398713902
108,118,5,medium,high,26.41381148943532
108,82,5,medium,high,33.088145344712245
108,69,5,medium,high,48.721009139999666
108,87,5,medium,high,44.783149112061146
108,178,5,medium,high,22.00098066107364
108,86,5,medium,high,47.780772661345004
115,48,5,medium,high,38.49976496508413
115,68,5,medium,high,41.35383596229144
115,80,5,medium,high,37.87006841253128
115,82,5,medium,high,50.250219492132054
115,118,5,medium,high,43.87673712559258
115,69,5,medium,high,58.62923616585162
115,86,5,medium,high,59.81730166492691
115,87,5,medium,high,57.63723099958715
117,48,5,medium,high,42.06696974331655
115,178,5,medium,high,39.736309928873816
117,68,5,medium,high,47.04093741110906
117,80,5,medium,high,39.872050984061644
117,118,5,medium,high,47.55907644140364
117,69,5,medium,high,65.03030506998384
117,178,5,medium,high,44.971252879958904
117,82,5,medium,high,52.357018853561605
121,48,5,medium,high,27.537084341358366
121,68,5,medium,high,32.97158622325534
117,86,5,medium,high,63.2730381512036
117,87,5,medium,high,63.98897291841398
121,80,5,medium,high,25.31125720578314
121,118,5,medium,high,32.613053237888145
121,82,5,medium,high,38.973740961473816
121,69,5,medium,high,53.16559221440721
121,87,5,medium,high,50.04794578070215
121,86,5,medium,high,51.74477758497537
121,178,5,medium,high,30.85838867572101
133,48,5,medium,high,24.40794639552336
133,68,5,medium,high,28.612816263588233
133,80,5,medium,high,24.373816531483325
133,118,5,medium,high,30.805017782742542
133,82,5,medium,high,38.97737041702826
133,69,5,medium,high,50.5207274196352
133,178,5,medium,high,24.940757906477558
133,87,5,medium,high,45.567024512252964
133,86,5,medium,high,49.16639853951442
135,48,5,medium,high,30.20749991268029
135,68,5,medium,high,32.268335685590635
135,80,5,medium,high,27.313721463729234
135,118,5,medium,high,33.74794816519161
135,82,5,medium,high,43.76430797667309
135,69,5,medium,high,53.22966727188985
135,178,5,medium,high,29.131988543739645
142,48,5,medium,high,44.356982906698754
135,87,5,medium,high,51.35910129519519
135,86,5,medium,high,52.38724148593892
142,68,5,medium,high,48.62501402184339
142,80,5,medium,high,43.309540426744846
142,82,5,medium,high,53.200358470611825
142,118,5,medium,high,50.72162234197761
143,48,5,medium,high,23.388601781096128
143,68,5,medium,high,28.126522555530343
142,178,5,medium,high,47.806598798564465
142,69,5,medium,high,67.77763082206555
142,87,5,medium,high,64.81846671062371
142,86,5,medium,high,67.73543595203078
143,80,5,medium,high,20.145938551561898
143,82,5,medium,high,33.643701803147536
143,69,5,medium,high,50.400497129494134
143,86,5,medium,high,49.123359410150464
143,118,5,medium,high,28.078880758388387
143,87,5,medium,high,46.6575669083065
143,178,5,medium,high,25.570698223356807
145,48,5,medium,high,25.859597147377738
145,80,5,medium,high,24.650526757974323
145,68,5,medium,high,27.930566187461533
145,82,5,medium,high,40.80218076121857
145,118,5,medium,high,30.920744153394207
145,69,5,medium,high,51.39183406077218
145,87,5,medium,high,45.39436401042327
147,48,5,medium,high,19.655394751129432
145,86,5,medium,high,49.96772582372097
147,68,5,medium,high,22.560151223266608
145,178,5,medium,high,25.394315352563122
147,80,5,medium,high,17.94563338888454
147,118,5,medium,high,24.789944491646473
147,82,5,medium,high,33.82470375297805
147,69,5,medium,high,45.877379202398934
147,178,5,medium,high,20.043152858080994
147,86,5,medium,high,44.57182916339021
147,87,5,medium,high,41.782964512833715
151,48,5,medium,high,73.70134525576043
151,80,5,medium,high,73.45540533378684
151,68,5,medium,high,75.42949630357559
151,118,5,medium,high,79.06500546305172
155,48,5,medium,high,22.38174548199617
151,82,5,medium,high,85.084793593996
155,68,5,medium,high,27.897021650838447
155,80,5,medium,high,19.61179682245857
151,178,5,medium,high,73.37701945709419
151,87,5,medium,high,90.1615280516601
155,69,5,medium,high,50.12513248122973
155,82,5,medium,high,32.831476445831925
151,69,5,medium,high,89.87357191573346
151,86,5,medium,high,91.29183661469914
155,86,5,medium,high,48.41412477750048
155,118,5,medium,high,28.23980043817227
155,87,5,medium,high,45.975877568745766
155,178,5,medium,high,25.28201175577942
158,80,5,medium,high,44.2867767640029
158,48,5,medium,high,45.02515052214284
158,68,5,medium,high,45.09608630674779
158,82,5,medium,high,54.451075437044885
158,118,5,medium,high,47.56267133166174
158,69,5,medium,high,60.68494621160101
166,48,5,medium,high,33.89500602685446
158,178,5,medium,high,43.78449146511929
158,86,5,medium,high,60.24076438647841
166,68,5,medium,high,37.08332754630416
158,87,5,medium,high,61.11128690456942
166,80,5,medium,high,32.56999377325379
166,118,5,medium,high,37.92849305088056
