exp_a,exp_b,trial_id,expertise_a,expertise_b,score
181,182,5,none,low,37.73324917287167
181,200,5,none,low,33.950328596161896
181,176,5,none,low,52.856736585240014
181,208,5,none,low,35.179449404934445
181,179,5,none,low,71.41275000829067
189,27,5,none,low,27.582559337331734
189,29,5,none,low,31.760432853694805
189,21,5,none,low,50.90597822526883
189,31,5,none,low,42.82671702100732
189,34,5,none,low,42.26307710141775
189,35,5,none,low,63.14128013381808
189,13,5,none,low,87.73676219522747
189,37,5,none,low,49.79267961740476
189,44,5,none,low,29.22419999564489
189,43,5,none,low,31.177667183234206
189,41,5,none,low,50.760041272841725
189,56,5,none,low,33.15707949156889
189,65,5,none,low,27.67263432750345
189,60,5,none,low,38.388182385025296
189,74,5,none,low,28.18836414385084
189,63,5,none,low,45.889436876010116
189,64,5,none,low,52.40965261941425
189,94,5,none,low,33.52901906357451
189,77,5,none,low,52.423957595455434
189,78,5,none,low,37.35967662430396
189,79,5,none,low,38.44803490580134
189,114,5,none,low,26.24697357430366
189,99,5,none,low,41.493738130088616
189,104,5,none,low,36.65034417198054
189,124,5,none,low,31.1519419522594
189,126,5,none,low,41.329405384453565
189,139,5,none,low,30.87192053935088
189,140,5,none,low,25.556903925812595
189,132,5,none,low,40.812722087939214
189,164,5,none,low,32.88886866757066
189,128,5,none,low,74.79639308488744
189,101,5,none,low,100.00702013598689
189,170,5,none,low,52.08368610276907
189,180,5,none,low,29.15803202192616
189,182,5,none,low,38.046554255288974
189,200,5,none,low,34.859983613019864
189,176,5,none,low,59.90843404280539
189,179,5,none,low,70.02974433907404
189,208,5,none,low,38.018225124371625
196,10,5,none,low,69.89717702650427
196,27,5,none,low,63.36277869255479
196,29,5,none,low,68.59351998731638
196,34,5,none,low,75.17759846272048
196,31,5,none,low,78.83255682935676
196,21,5,none,low,82.09041821056984
196,35,5,none,low,95.65080362179314
196,37,5,none,low,86.1982124915896
196,43,5,none,low,67.98490960829619
196,44,5,none,low,65.90760026795442
196,56,5,none,low,68.05930753113347
196,13,5,none,low,117.03135759225353
196,41,5,none,low,85.30578545745767
196,65,5,none,low,64.436973346782
196,60,5,none,low,72.80474679324898
196,74,5,none,low,65.53221065461975
196,63,5,none,low,78.24022618327587
196,64,5,none,low,81.66587401636568
196,94,5,none,low,68.7068306091517
196,78,5,none,low,72.91472847259745
196,79,5,none,low,73.91523956081714
196,77,5,none,low,85.32690107763214
196,114,5,none,low,64.38193640165898
196,99,5,none,low,74.52055585185533
196,104,5,none,low,71.61959166717976
196,124,5,none,low,66.44290142419914
196,139,5,none,low,67.2017570181602
196,126,5,none,low,74.64542381419172
196,140,5,none,low,62.84513650755653
196,164,5,none,low,68.18382034712063
196,132,5,none,low,73.44910168605838
196,180,5,none,low,65.8691862442868
196,128,5,none,low,102.64562911316816
196,170,5,none,low,87.31338630549318
201,10,5,none,low,22.25375012360017
196,101,5,none,low,122.17966381396825
196,200,5,none,low,72.8519637493951
196,182,5,none,low,74.31417534684705
201,13,5,none,low,76.82139576293578
201,21,5,none,low,39.609147636906116
196,176,5,none,low,89.77978203807828
201,27,5,none,low,19.20394289569866
201,29,5,none,low,25.864008899502444
201,31,5,none,low,30.92338599175048
196,208,5,none,low,72.67299669331297
201,34,5,none,low,35.73329897070119
201,35,5,none,low,50.56713589585437
201,37,5,none,low,38.52757342355678
201,43,5,none,low,23.228419157656184
196,179,5,none,low,102.90254598532879
201,41,5,none,low,38.094525453193775
201,44,5,none,low,22.408028370986486
201,56,5,none,low,26.92752884342967
201,60,5,none,low,33.92678360718028
