exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
68,27,vehicle,high,low,139.0,0.879746835443038,Java_high_Java_low_results.csv
26,78,vehicle,high,low,151.0,0.8342541436464088,Java_high_Java_low_results.csv
68,43,vehicle,high,low,248.0,0.8551724137931035,Java_high_Java_low_results.csv
26,41,vehicle,high,low,280.0,0.8408408408408409,Java_high_Java_low_results.csv
68,21,vehicle,high,low,309.0,0.8728813559322034,Java_high_Java_low_results.csv
48,79,vehicle,high,low,253.0,0.8161290322580645,Java_high_Java_low_results.csv
26,77,vehicle,high,low,336.0,0.8637532133676092,Java_high_Java_low_results.csv
1,35,vehicle,high,low,215.0,0.8113207547169812,Java_high_Java_low_results.csv
1,63,vehicle,high,low,205.0,0.7884615384615384,Java_high_Java_low_results.csv
68,41,vehicle,high,low,277.0,0.8318318318318318,Java_high_Java_low_results.csv
68,13,vehicle,high,low,472.0,0.855072463768116,Java_high_Java_low_results.csv
68,35,vehicle,high,low,217.0,0.8188679245283019,Java_high_Java_low_results.csv
48,140,vehicle,high,low,200.0,0.9009009009009008,Java_high_Java_low_results.csv
26,37,vehicle,high,low,239.0,0.9263565891472868,Java_high_Java_low_results.csv
48,43,vehicle,high,low,255.0,0.8793103448275862,Java_high_Java_low_results.csv
1,94,vehicle,high,low,125.0,0.9191176470588236,Java_high_Java_low_results.csv
68,10,vehicle,high,low,118.0,0.7468354430379747,Java_high_Java_low_results.csv
26,182,vehicle,high,low,349.0,0.8725,Java_high_Java_low_results.csv
1,124,vehicle,high,low,247.0,0.8666666666666667,Java_high_Java_low_results.csv
48,139,vehicle,high,low,160.0,0.8,Java_high_Java_low_results.csv
26,176,vehicle,high,low,357.0,0.875,Java_high_Java_low_results.csv
1,99,vehicle,high,low,246.0,0.831081081081081,Java_high_Java_low_results.csv
1,27,vehicle,high,low,119.0,0.8947368421052632,Java_high_Java_low_results.csv
26,172,vehicle,high,low,156.0,0.861878453038674,Java_high_Java_low_results.csv
48,200,vehicle,high,low,171.0,0.855,Java_high_Java_low_results.csv
1,101,vehicle,high,low,796.0,0.9170506912442395,Java_high_Java_low_results.csv
48,132,vehicle,high,low,265.0,0.8952702702702703,Java_high_Java_low_results.csv
26,170,vehicle,high,low,280.0,0.8668730650154799,Java_high_Java_low_results.csv
1,104,vehicle,high,low,202.0,0.8744588744588745,Java_high_Java_low_results.csv
48,128,vehicle,high,low,442.0,0.896551724137931,Java_high_Java_low_results.csv
1,114,vehicle,high,low,116.0,0.8721804511278195,Java_high_Java_low_results.csv
26,164,vehicle,high,low,212.0,0.902127659574468,Java_high_Java_low_results.csv
48,94,vehicle,high,low,181.0,0.905,Java_high_Java_low_results.csv
48,183,vehicle,high,low,242.0,0.8642857142857143,Java_high_Java_low_results.csv
48,126,vehicle,high,low,287.0,0.8996865203761756,Java_high_Java_low_results.csv
48,78,vehicle,high,low,172.0,0.86,Java_high_Java_low_results.csv
48,182,vehicle,high,low,351.0,0.8775,Java_high_Java_low_results.csv
1,34,vehicle,high,low,178.0,0.8725490196078431,Java_high_Java_low_results.csv
48,34,vehicle,high,low,194.0,0.9509803921568628,Java_high_Java_low_results.csv
68,114,vehicle,high,low,130.0,0.8227848101265823,Java_high_Java_low_results.csv
68,139,vehicle,high,low,125.0,0.7911392405063291,Java_high_Java_low_results.csv
68,172,vehicle,high,low,172.0,0.9885057471264368,Java_high_Java_low_results.csv
68,180,vehicle,high,low,153.0,0.9683544303797468,Java_high_Java_low_results.csv
68,140,vehicle,high,low,182.0,0.8198198198198198,Java_high_Java_low_results.csv
