exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
118,176,vehicle,high,low,354.0,0.8676470588235294
118,200,vehicle,high,low,150.0,0.847457627118644
118,183,vehicle,high,low,239.0,0.8535714285714285
178,27,vehicle,high,low,138.0,0.8625
118,128,vehicle,high,low,433.0,0.8782961460446247
118,179,vehicle,high,low,330.0,0.8616187989556136
118,182,vehicle,high,low,350.0,0.875
178,10,vehicle,high,low,120.0,0.75
178,56,vehicle,high,low,141.0,0.88125
178,65,vehicle,high,low,140.0,0.875
178,34,vehicle,high,low,180.0,0.8823529411764706
178,29,vehicle,high,low,166.0,0.907103825136612
178,31,vehicle,high,low,223.0,0.8446969696969697
178,74,vehicle,high,low,129.0,0.80625
178,35,vehicle,high,low,230.0,0.8679245283018868
178,37,vehicle,high,low,207.0,0.8023255813953488
178,44,vehicle,high,low,261.0,0.8907849829351536
178,63,vehicle,high,low,216.0,0.8307692307692308
178,78,vehicle,high,low,132.0,0.825
178,43,vehicle,high,low,245.0,0.8448275862068966
178,41,vehicle,high,low,274.0,0.8228228228228228
118,101,vehicle,high,low,800.0,0.9216589861751152
178,94,vehicle,high,low,137.0,0.85625
178,114,vehicle,high,low,136.0,0.85
178,21,vehicle,high,low,310.0,0.8757062146892656
178,60,vehicle,high,low,271.0,0.8856209150326797
178,139,vehicle,high,low,132.0,0.825
178,104,vehicle,high,low,215.0,0.9307359307359307
178,77,vehicle,high,low,331.0,0.8508997429305912
178,79,vehicle,high,low,265.0,0.8548387096774194
178,99,vehicle,high,low,260.0,0.8783783783783784
178,172,vehicle,high,low,169.0,0.9712643678160919
178,164,vehicle,high,low,196.0,0.8340425531914893
178,140,vehicle,high,low,180.0,0.8108108108108109
178,124,vehicle,high,low,250.0,0.8771929824561403
178,170,vehicle,high,low,280.0,0.8668730650154799
178,132,vehicle,high,low,258.0,0.8716216216216216
178,180,vehicle,high,low,153.0,0.95625
178,200,vehicle,high,low,159.0,0.8983050847457628
178,13,vehicle,high,low,476.0,0.8623188405797102
178,126,vehicle,high,low,280.0,0.877742946708464
178,64,vehicle,high,low,524.0,0.8851351351351351
178,183,vehicle,high,low,239.0,0.8535714285714285
178,128,vehicle,high,low,458.0,0.9290060851926978
178,182,vehicle,high,low,351.0,0.8775
178,176,vehicle,high,low,369.0,0.9044117647058824
178,179,vehicle,high,low,332.0,0.8668407310704961
178,101,vehicle,high,low,803.0,0.9251152073732719
