exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
43,189,5,low,none,0.9925945671198145,0.7231661062413212,0.9905238990862821,0.9301133044389998,0.6666666666666666
43,154,5,low,none,0.9935956135700061,0.6446384031705659,0.9914548290673593,0.9043159639162803,0.7
43,201,5,low,none,0.993850859145563,0.7258734578703132,0.9929244925772583,0.9481385237258302,0.6666666666666666
43,204,5,low,none,0.9923722621186503,0.6300869242482694,0.9889467701020115,0.9018270380986176,0.6510869565217391
43,211,5,low,none,0.992093176851838,0.6868935593296237,0.9892980234584751,0.9027674653978444,0.6666666666666666
44,3,5,low,none,0.9921377795148558,0.7451799753558781,0.9905713618561364,0.9397316682806274,0.7142857142857142
44,5,5,low,none,0.9931228363565894,0.7668083256835923,0.9905179143109669,0.9187050637636774,0.6984848484848485
41,196,5,low,none,0.9902813816929822,0.7394569979313208,0.9845649314551973,0.8780352642361876,0.7083333333333334
44,12,5,low,none,0.9919214264836687,0.7570188611995323,0.9889649475422986,0.9265380529986629,0.6296296296296298
44,28,5,low,none,0.9932173102976308,0.8115945831416262,0.9901469508185147,0.8874701110590771,0.6086956521739131
44,30,5,low,none,0.9931542059201084,0.7149694619681254,0.9905154037708177,0.9059607596744357,0.7032032032032032
44,36,5,low,none,0.992472462537442,0.7780438609280305,0.9893256514463619,0.8899048349169003,0.6988372093023256
44,93,5,low,none,0.992942605784362,0.7201924138739165,0.9886563395132033,0.8342555836423142,0.6538825757575757
43,196,5,low,none,0.9883579238627566,0.6671101167403359,0.9798402703169331,0.8908182688792311,0.6774193548387097
44,96,5,low,none,0.9907658962651322,0.7181040150786968,0.9852358927694548,0.9313308966665913,0.5555555555555556
44,110,5,low,none,0.9939012411391133,0.8041638158972497,0.9925813061510529,0.8886115646408704,0.7142857142857142
44,163,5,low,none,0.9915946492891512,0.7133661156695272,0.9889748746710524,0.9122686528626969,0.6818181818181819
44,181,5,low,none,0.9938160664823739,0.8031142833643254,0.9918302184438043,0.9185255012945645,0.6228448275862069
44,154,5,low,none,0.9931536763104722,0.6470806826850045,0.9913019536446604,0.9411625811055362,0.6818181818181819
44,189,5,low,none,0.992603498124635,0.769365185362457,0.9899934857710316,0.9331990776521452,0.6923076923076923
44,201,5,low,none,0.9941544859458666,0.7389013819192288,0.9923826163547766,0.9026745273297813,0.6799999999999999
44,204,5,low,none,0.9923384896032329,0.5975964894206529,0.9893545056839268,0.9238048995366822,0.6956521739130435
