exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,baseline_Shape,baseline_Direction,baseline_Length,baseline_Position,baseline_Duration,source_file
68,80,2,high,high,0.1164292368046348,-0.0354863115444393,0.1193368141116542,0.1338747712008192,-0.0765191339885819,0.8768612863472918,0.6746704076644544,0.8733494670011638,0.762537471635653,0.8210843513798862,combined_data.csv
68,82,2,high,high,0.1108254015530484,-0.0153015360411044,0.1043716272360398,0.1314262805040353,-0.194588171295277,0.8826796386361362,0.8143789033422255,0.8873953903167449,0.7780629007455062,0.8309518076589135,combined_data.csv
68,86,2,high,high,0.1196070661699058,-0.0279074216974584,0.1184507332526568,0.1004764583270451,-0.2506721702828904,0.8740366941066493,0.7470132629281094,0.8721699502453975,0.7551003594909059,0.831317331573213,combined_data.csv
68,87,2,high,high,0.1183050220904868,-0.0783764547024113,0.1170747852540701,0.1427318437244052,-0.1764175380280722,0.8747776822753776,0.7999796001049465,0.8740357808547491,0.7804260207803868,0.843084204694739,combined_data.csv
68,123,2,high,high,0.1124081943215105,-0.0370405421335484,0.1182453830092994,0.1608802293352838,-0.1295153626941599,0.8808537431863228,0.7878273854105822,0.8727234013987715,0.7548605650143893,0.8271897812988112,combined_data.csv
68,178,2,high,high,0.1148323666561171,-0.0449671990727289,0.1199939537552718,0.196590361526544,-0.1271441672162891,0.8789447864817795,0.7913207330895353,0.8735064189106696,0.760373972553244,0.8194518595239815,combined_data.csv
69,80,2,high,high,0.1267244376978655,-0.0201393722652596,0.1505710945269778,0.1647840292101126,-0.1810340264625378,0.8628001773193674,0.6812405199686034,0.8350622594889121,0.7157358682458441,0.8372840264625379,combined_data.csv
69,82,2,high,high,0.106774661157486,-0.0149775343571852,0.098398212407523,0.1684142691707255,-0.1800133791396074,0.8845808556898785,0.7937945342584342,0.8881475323467404,0.7668388405078327,0.8311761698372819,combined_data.csv
69,86,2,high,high,0.1124067407903077,-0.081655889057968,0.121386895245278,0.132826592062152,-0.2224259942457346,0.8807018956193163,0.7478400572115406,0.8693119720064963,0.7585183341179096,0.8353292200521862,combined_data.csv
69,87,2,high,high,0.1067101918962855,-0.0792120881606427,0.1163850021527678,0.1385998368956471,-0.1482264648520254,0.8851644134850828,0.8065247781745957,0.8727992058336123,0.7606694263280631,0.8282264648520253,combined_data.csv
