exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
21,176,rectangle,low,low,430.0,0.8531746031746031,Java_low_results.csv
27,74,rectangle,low,low,100.0,0.9174311926605504,Java_low_results.csv
27,44,rectangle,low,low,143.0,0.89937106918239,Java_low_results.csv
13,60,rectangle,low,low,241.0,0.94140625,Java_low_results.csv
21,71,rectangle,low,low,296.0,0.9337539432176656,Java_low_results.csv
21,124,rectangle,low,low,298.0,0.94006309148265,Java_low_results.csv
27,56,rectangle,low,low,128.0,0.9014084507042254,Java_low_results.csv
13,63,rectangle,low,low,261.0,0.9288256227758008,Java_low_results.csv
21,74,rectangle,low,low,291.0,0.917981072555205,Java_low_results.csv
27,77,rectangle,low,low,321.0,0.9119318181818182,Java_low_results.csv
27,60,rectangle,low,low,224.0,0.875,Java_low_results.csv
13,64,rectangle,low,low,347.0,0.940379403794038,Java_low_results.csv
21,60,rectangle,low,low,289.0,0.9116719242902208,Java_low_results.csv
21,77,rectangle,low,low,332.0,0.9431818181818182,Java_low_results.csv
27,78,rectangle,low,low,205.0,0.8798283261802575,Java_low_results.csv
21,164,rectangle,low,low,298.0,0.94006309148265,Java_low_results.csv
27,63,rectangle,low,low,252.0,0.896797153024911,Java_low_results.csv
21,56,rectangle,low,low,287.0,0.9053627760252366,Java_low_results.csv
13,65,rectangle,low,low,245.0,0.9607843137254902,Java_low_results.csv
21,78,rectangle,low,low,308.0,0.9716088328075708,Java_low_results.csv
27,79,rectangle,low,low,236.0,0.8939393939393939,Java_low_results.csv
21,162,rectangle,low,low,303.0,0.9558359621451104,Java_low_results.csv
27,140,rectangle,low,low,113.0,0.8828125,Java_low_results.csv
27,186,rectangle,low,low,196.0,0.8558951965065502,Java_low_results.csv
27,208,rectangle,low,low,242.0,0.9236641221374046,Java_low_results.csv
29,35,rectangle,low,low,160.0,0.935672514619883,Java_low_results.csv
29,37,rectangle,low,low,196.0,0.8990825688073395,Java_low_results.csv
29,65,rectangle,low,low,155.0,0.9171597633136096,Java_low_results.csv
29,31,rectangle,low,low,240.0,0.8602150537634409,Java_low_results.csv
27,180,rectangle,low,low,138.0,0.8846153846153846,Java_low_results.csv
27,179,rectangle,low,low,466.0,0.937625754527163,Java_low_results.csv
29,43,rectangle,low,low,157.0,0.9289940828402368,Java_low_results.csv
27,176,rectangle,low,low,452.0,0.8968253968253969,Java_low_results.csv
29,60,rectangle,low,low,223.0,0.87109375,Java_low_results.csv
27,162,rectangle,low,low,231.0,0.875,Java_low_results.csv
29,71,rectangle,low,low,150.0,0.8875739644970414,Java_low_results.csv
29,74,rectangle,low,low,153.0,0.9053254437869822,Java_low_results.csv
27,164,rectangle,low,low,196.0,0.9289099526066352,Java_low_results.csv
29,67,rectangle,low,low,149.0,0.8816568047337278,Java_low_results.csv
29,63,rectangle,low,low,258.0,0.9181494661921707,Java_low_results.csv
27,200,rectangle,low,low,209.0,0.908695652173913,Java_low_results.csv
29,56,rectangle,low,low,145.0,0.8579881656804734,Java_low_results.csv
29,94,rectangle,low,low,160.0,0.9467455621301776,Java_low_results.csv
29,44,rectangle,low,low,153.0,0.9053254437869822,Java_low_results.csv
29,34,rectangle,low,low,221.0,0.9132231404958676,Java_low_results.csv
29,99,rectangle,low,low,149.0,0.861271676300578,Java_low_results.csv
27,182,rectangle,low,low,257.0,0.9178571428571428,Java_low_results.csv
29,64,rectangle,low,low,346.0,0.9376693766937668,Java_low_results.csv
29,78,rectangle,low,low,210.0,0.9012875536480688,Java_low_results.csv
29,107,rectangle,low,low,185.0,0.8894230769230769,Java_low_results.csv
29,140,rectangle,low,low,150.0,0.8875739644970414,Java_low_results.csv
29,124,rectangle,low,low,199.0,0.9128440366972476,Java_low_results.csv
29,104,rectangle,low,low,247.0,0.8697183098591549,Java_low_results.csv
29,101,rectangle,low,low,156.0,0.9230769230769232,Java_low_results.csv
29,126,rectangle,low,low,269.0,0.9026845637583892,Java_low_results.csv
29,180,rectangle,low,low,150.0,0.8875739644970414,Java_low_results.csv
29,200,rectangle,low,low,198.0,0.8608695652173913,Java_low_results.csv
29,186,rectangle,low,low,194.0,0.8471615720524017,Java_low_results.csv
29,182,rectangle,low,low,239.0,0.8535714285714285,Java_low_results.csv
29,79,rectangle,low,low,231.0,0.875,Java_low_results.csv
29,41,rectangle,low,low,277.0,0.8710691823899371,Java_low_results.csv
29,208,rectangle,low,low,239.0,0.9122137404580152,Java_low_results.csv
29,138,rectangle,low,low,159.0,0.940828402366864,Java_low_results.csv
