exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
66,163,vehicle,medium,none,0.9881362868697988,0.7355754051934573,0.9806120689109914,0.91501899735161,0.689010989010989,Java_medium_Java_none_results.csv
66,116,vehicle,medium,none,0.9911285133285102,0.7465233277824732,0.9877436093928617,0.9108485277291244,0.6092258748674444,Java_medium_Java_none_results.csv
66,96,vehicle,medium,none,0.9919600260686148,0.5831345473975891,0.9865672642444,0.9193634636856328,0.5434782608695652,Java_medium_Java_none_results.csv
66,141,vehicle,medium,none,0.9890798660937432,0.736032981318665,0.9835746777730544,0.9195585154594902,0.5833333333333333,Java_medium_Java_none_results.csv
66,201,vehicle,medium,none,0.9907935507612676,0.6712892084298414,0.9902702960497444,0.9035369673853152,0.6861538461538461,Java_medium_Java_none_results.csv
66,59,vehicle,medium,none,0.988885908662657,0.6148594394143532,0.9837376092637126,0.9024824721070543,0.7071078431372549,Java_medium_Java_none_results.csv
66,216,vehicle,medium,none,0.9881515640252622,0.6375808838857095,0.982551670442838,0.9110962118711934,0.7619047619047619,Java_medium_Java_none_results.csv
66,12,vehicle,medium,none,0.991018604659502,0.5574122406236877,0.986347700354824,0.9120518176168004,0.6086956521739131,Java_medium_Java_none_results.csv
66,211,vehicle,medium,none,0.9921176200302084,0.6590888343855029,0.9874941066130204,0.8864741081690247,0.6222222222222222,Java_medium_Java_none_results.csv
70,93,vehicle,medium,none,0.990674762978734,0.7129156000540008,0.9878796578733976,0.9421986924942904,0.6923076923076923,Java_medium_Java_none_results.csv
62,196,vehicle,medium,none,0.9885718479593388,0.6302696594490697,0.9831906787180203,0.8931636170703459,0.701063829787234,Java_medium_Java_none_results.csv
70,28,vehicle,medium,none,0.9919192938126572,0.6809123250591615,0.9892944917138696,0.9160290504478356,0.5583670715249662,Java_medium_Java_none_results.csv
62,154,vehicle,medium,none,0.9920946662293898,0.6169229219721557,0.98951560089374,0.848338438086143,0.7142857142857143,Java_medium_Java_none_results.csv
