session_id,trial_id,name,onset,offset,duration,amplitude,dispersion,disposition,peak_velocity,location,location_x,location_y,trial_index,RECORDING_SESSION_LABEL,code,render,expertise
44,7,fixation.ivt,4041,4346,305,0.1676118329067609,0.235426269783666,0.0788337666332022,19.16025981670449,[541.59493464 111.36094771],541.594934640523,111.3609477124183,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,4372,4719,347,0.1456585105637014,0.2048818758328874,0.0697191772634275,17.394352148365613,[606.20201149 111.32658046],606.2020114942528,111.32658045977011,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,4748,5203,455,0.2702699811266085,0.3592515075195805,0.231485007401824,19.35336926747119,[690.09616228 107.97938596],690.0961622807017,107.9793859649123,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,5221,5360,139,0.1704034555626724,0.2402159150002525,0.1145422337316652,14.695038400037324,[644.45214286 110.61571429],644.4521428571429,110.61571428571428,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,5400,5581,181,0.130574924217306,0.1820946373560747,0.0124800622137492,17.617960487850688,[501.66263736 173.5239011 ],501.6626373626374,173.5239010989011,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,5613,5786,173,0.1055910540670595,0.1487309676901862,0.0396136887366104,14.968736703662875,[599.25028736 162.61752874],599.2502873563219,162.61752873563216,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,5813,6101,288,0.1986259254430698,0.2783791789203338,0.1255401392129908,16.07556892983436,[646.86349481 163.02629758],646.8634948096886,163.02629757785468,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,6125,6642,517,0.1955515106107783,0.2667548450636801,0.1750853846189396,19.98524226458798,[706.58349421 162.61013514],706.5834942084941,162.61013513513512,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,6661,7216,555,0.1629662827987505,0.229384745851231,0.1013764689976617,17.540766623563176,[742.7227518  162.39928058],742.7227517985613,162.39928057553956,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,7358,7813,455,0.2083528802105942,0.2943483791250258,0.1276376648784964,17.57019333389438,[843.9564693  159.99309211],843.9564692982457,159.99309210526317,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,7830,8003,173,0.2077366580137932,0.2812847591902514,0.1710502635801904,19.726138707786053,[885.65488506 164.16293103],885.6548850574713,164.16293103448274,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,8021,8341,320,0.1751838484200865,0.2445816200957207,0.0985555919670272,18.26491797961562,[925.09719626 162.05062305],925.0971962616824,162.0506230529595,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,8395,8531,136,0.2134764563810821,0.2857777439144486,0.1711870764787108,18.50858658485966,[566.19379562 258.11569343],566.1937956204379,258.1156934306569,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,8678,8824,146,0.1435234824038176,0.2024447783380836,0.0521983986692012,19.96859239782487,[573.08877551 223.90034014],573.088775510204,223.90034013605447,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,8846,9276,430,0.2379065882964443,0.330453395924037,0.1663969070314905,19.042621535777876,[636.39547564 218.53109049],636.3954756380509,218.531090487239,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,9293,9505,212,0.2293994690315284,0.3045283904537097,0.1321795710430596,16.123063349357537,[677.66220657 213.76032864],677.66220657277,213.76032863849764,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,9522,9777,255,0.2472257283809403,0.3493188983118731,0.1866198281964702,16.965720271233756,[648.06210937 215.14121094],648.062109375,215.1412109375,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,9797,10065,268,0.1581804782674599,0.2232430417862279,0.1061321861374519,16.07574705036169,[717.74405204 220.64925651],717.7440520446096,220.64925650557623,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,10189,10641,452,0.1946276770948261,0.2745105385508246,0.1008099548006163,19.93723625664458,[849.55695364 219.30066225],849.5569536423842,219.3006622516556,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,10653,10827,174,0.2373989290860592,0.3261023418856279,0.192054168834791,19.519052988263912,[824.11457143 215.38428571],824.1145714285715,215.3842857142857,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,10856,10967,111,0.1504638140466688,0.2127833296279071,0.1167166895576175,19.51190562436933,[756.16116071 216.90758929],756.1611607142856,216.90758928571435,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,11004,11240,236,0.1361903365889865,0.1913213617936344,0.0535046225259409,16.535149987723884,[567.36012658 290.092827  ],567.3601265822786,290.09282700421943,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,11268,11502,234,0.1255888479982103,0.168757881030622,0.028011597810396,19.599917951500096,[626.86382979 280.98808511],626.8638297872341,280.9880851063829,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,11518,11768,250,0.1826864595854406,0.2583327399543815,0.0697201481177678,16.775304933672967,[662.87988048 282.75438247],662.8798804780878,282.75438247011965,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,11793,12271,478,0.2673067056451909,0.3621736486323055,0.1636532560323906,18.332007530016007,[733.77933194 283.60772443],733.7793319415449,283.6077244258872,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,12283,12628,345,0.3234457032518919,0.4480934274305808,0.2630031787399064,13.764950860582577,[719.56184971 277.95765896],719.5618497109826,277.9576589595376,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,12645,12818,173,0.1843039917114337,0.2459679835594412,0.1695118390808491,19.100630960786383,[746.1545977  285.86465517],746.1545977011494,285.8646551724138,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,12836,13099,263,0.2034014604723765,0.2870830681594185,0.1440550510755602,18.8274854379795,[787.88087121 284.57537879],787.8808712121212,284.5753787878788,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,13114,13505,391,0.2459578350872827,0.347386180687101,0.2223828027170001,18.66331405802234,[827.74719388 289.44209184],827.7471938775511,289.4420918367347,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,13530,13651,121,0.0923173723853098,0.1304121484684719,0.0655845731437673,17.415579039859836,[874.55040984 286.99303279],874.5504098360658,286.99303278688524,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,13667,14100,433,0.2273123420823067,0.3121243056705527,0.0567314628332023,19.899304637938524,[923.05334101 287.63260369],923.0533410138248,287.63260368663595,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,14119,14353,234,0.1618284181391797,0.2171746012945208,0.0351426214702648,17.12043983740601,[961.99382979 296.15914894],961.9938297872344,296.1591489361703,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,14404,14575,171,0.1865668504482568,0.2635246798987616,0.0805300036465375,19.960976960101338,[547.78226744 369.91744186],547.7822674418604,369.9174418604651,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,14593,14748,155,0.1414597799311041,0.1994707662054251,0.110698469893565,19.83328796082854,[543.06602564 348.18685897],543.0660256410257,348.18685897435904,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,14778,14970,192,0.163450012855238,0.229694029019833,0.1163693181124197,19.494222394327544,[613.22823834 342.0507772 ],613.2282383419689,342.05077720207254,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,14983,15257,274,0.1523405707831842,0.1983263864250801,0.0237792285361663,17.706475881643357,[595.05909091 339.66690909],595.0590909090909,339.6669090909091,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,15289,15509,220,0.2084548000719009,0.2946117595802819,0.0967519629027082,18.053195897942988,[656.95565611 283.18348416],656.955656108597,283.1834841628959,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,15537,15727,190,0.1790843330868576,0.2426854751180611,0.0440814859168343,16.779783843911105,[607.24502618 341.56544503],607.2450261780104,341.56544502617805,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,15744,16129,385,0.2583805563197059,0.3653435458764127,0.1844314837777348,19.37351786094074,[648.12564767 338.66502591],648.1256476683939,338.66502590673576,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,16148,16349,201,0.2232471530674832,0.3095182233727289,0.1792367008017253,16.17900967642506,[701.70841584 343.84529703],701.708415841584,343.845297029703,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,16372,16778,406,0.2150911661770754,0.3040046935323204,0.0418289218685117,19.820965862829112,[760.11203931 347.06633907],760.1120393120392,347.0663390663391,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,16825,16990,165,0.149405751368973,0.2093620420216719,0.0782063848782834,17.558469711011302,[522.44638554 433.0123494 ],522.4463855421686,433.0123493975904,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,17009,17145,136,0.263296177723506,0.3713450438829926,0.2396599870848154,19.051108622836143,[565.68722628 404.39854015],565.6872262773724,404.3985401459854,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,17169,17445,276,0.1657403282155101,0.2274655967212036,0.1224927741875258,17.78020767610535,[632.46823105 413.62563177],632.4682310469314,413.6256317689531,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,17468,17839,371,0.1594590388913654,0.2197568379165275,0.039562207261645,19.277872198150003,[671.65537634 413.27325269],671.655376344086,413.2732526881721,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,17858,18011,153,0.1779180285297024,0.2447608758285557,0.134685705600162,18.48646845226254,[726.83376623 410.16493506],726.8337662337661,410.1649350649351,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,18036,18327,291,0.2702432127556045,0.373080687979896,0.1547286453835946,19.820363794858412,[764.25256849 410.17808219],764.2525684931506,410.1780821917808,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,18347,18456,109,0.1438594506419874,0.1933303758090705,0.059656560773234,17.741289384710765,[747.29363636 411.07272727],747.2936363636366,411.0727272727271,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,18482,18722,240,0.2101745356783932,0.2933263557448318,0.1157224650549657,18.56926497185005,[832.60684647 412.09004149],832.606846473029,412.09004149377586,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,18744,18874,130,0.1273935837902771,0.174770206314998,0.0814665749766815,15.406063355039477,[878.46068702 404.71221374],878.4606870229009,404.712213740458,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,18920,19047,127,0.2651488439148327,0.3709867183747191,0.1615183249176334,19.884123609784343,[605.97617187 261.88476562],605.976171875,261.884765625,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,19102,19311,209,0.1923427701700833,0.2661715146612593,0.0600964416579103,18.428040814602458,[853.45380952 412.02547619],853.4538095238094,412.02547619047624,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,19328,19520,192,0.1912931214417325,0.2690112351850415,0.0728508983902413,17.306938035463073,[881.30829016 410.3142487 ],881.3082901554404,410.31424870466327,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,19670,19843,173,0.2225628275264251,0.2922000660953761,0.0773928735112208,19.36420149233948,[527.20833333 465.79683908],527.2083333333334,465.79683908045973,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,19855,19986,131,0.1274040179158142,0.1780695748873981,0.0723627436389787,16.502301223868827,[551.50795455 471.93181818],551.5079545454545,471.9318181818182,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,20011,20281,270,0.1959030315679286,0.2635161406620465,0.0906364107321006,18.795933281546613,[616.69188192 473.10922509],616.6918819188191,473.1092250922509,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,20503,20615,112,0.3257764076501556,0.4558651505652267,0.258930947677627,13.494417216914783,[619.66814159 449.61637168],619.6681415929206,449.6163716814157,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,20667,20889,222,0.3206510277114267,0.4277204947420268,0.2230459849308123,16.68060511192091,[508.11345291 681.84013453],508.1134529147983,681.840134529148,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,20917,21113,196,0.2018676192879984,0.2845995157446088,0.1174888141063403,19.96192206423956,[576.98705584 668.22817259],576.9870558375634,668.2281725888324,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,21136,21476,340,0.1792660114349071,0.242331501425578,0.1211001365855739,18.43980348488804,[616.8042522  664.12609971],616.8042521994134,664.1260997067449,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,21500,21784,284,0.1821922804093814,0.2574565566910154,0.1053685332937221,16.092045092846735,[679.45894737 664.40175439],679.4589473684211,664.4017543859649,2,S44T7,c2,r3,Intermediate
44,7,fixation.ivt,21809,22406,597,0.2834572274405829,0.3905656932345933,0.1000035557487949,16.988456878875766,[736.77792642 656.6590301 ],736.7779264214047,656.6590301003345,2,S44T7,c2,r3,Intermediate
